Year,ageadjrate_male,ageadjrate_female
2000,10.4878209852554,6.40174319741522
2001,10.129301531286,6.46586344570411
2002,8.8277740476823,5.64085932694778
2003,8.83360680472846,5.75128153174807
2004,7.94895471011555,5.36858005296038
2005,8.37862977452816,5.64596316931545
2006,7.69826511341619,5.31082769717736
2007,7.58519420372995,5.4797134155183
2008,8.78935154207378,6.26088075725107
2009,9.16476642447259,6.44413265101922
2010,7.76199640449811,5.77439722933194
2011,7.55216608715704,5.77288983846926
2012,7.94236301582606,5.93817040628335
2013,7.43828073769855,5.45857638440738
2014,6.97900663451451,4.92353264698714
2015,7.05205060354627,4.92143229937312
2016,7.39082297873019,5.08236878056791
2017,7.10109083789749,4.90645107571871
2018,6.90141443022767,4.83527601008225
2019,7.01703998305284,4.79544353227323
2020,7.47143222228451,4.98069745800701
2021,8.02201390768806,5.35588344521095
2022,7.81647515300204,5.15552000032003
