Year,Excess YPLL Rate,Excess YPLL Number
2000,86.00866764101792,116006.38198167444
2001,78.5134501265212,107234.20014859103
2002,66.1307095024438,91207.92092805964
2003,62.78203362936517,87303.10067352069
2004,47.98506901087271,67369.43946831791
2005,54.70509074506816,77520.13494792343
2006,46.94452011148931,67160.26509603122
2007,38.39666557949059,55425.89470525261
2008,48.74454386822879,71029.2288350896
2009,54.79426387573636,80562.73988105702
2010,31.206112572650312,46177.9849763084
2011,27.729259607743046,41414.504394530544
2012,34.709876114888885,52242.28438051371
2013,37.129313224752934,56285.47432706102
2014,39.973099103267884,61082.79720399681
2015,43.3727314589392,66802.62243987068
2016,51.0170773231803,78986.47674687293
2017,46.42752393828226,72479.53972834241
2018,43.372131030767065,68022.45660074348
2019,48.435778341818605,76211.62368518076
2020,56.27824003958614,88882.11994564293
2021,55.89157409420221,89642.98494044316
2022,56.06160969773464,90324.70464982945
