mrr,excess_aamr,Year
1.6382758042356311,4.08607778784018,2000
1.5665814189156533,3.66343808558189,2001
1.5649697211043432,3.1869147207345208,2002
1.5359371221814513,3.0823252729803894,2003
1.4806437888045056,2.5803746571551702,2004
1.4840036187384544,2.732666605212711,2005
1.4495414937878184,2.3874374162388303,2006
1.3842319166270673,2.1054807882116497,2007
1.4038522506429065,2.5284707848227095,2008
1.4221877358503892,2.720633773453371,2009
1.3442089444539516,1.98759917516617,2010
1.3082124028820152,1.77927624868778,2011
1.3375101205283728,2.0041926095427103,2012
1.36267777784447,1.9797043532911704,2013
1.4174795080896188,2.05547398752737,2014
1.4329264682650502,2.13061830417315,2015
1.454208322502786,2.3084541981622806,2016
1.4472967789365563,2.19463976217878,2017
1.4273051664139178,2.0661384201454203,2018
1.4632723617384533,2.22159645077961,2019
1.500077506268399,2.4907347642774997,2020
1.4977947130012832,2.666130462477109,2021
1.5161371020802616,2.6609551526820097,2022
