"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"60-64 years "	"60-64"	"Male"	"M"	"2014"	"2014"	116206	8877894	1308.9
	"60-64 years "	"60-64"	"Male"	"M"	"2015"	"2015"	120454	9117180	1321.2
	"60-64 years "	"60-64"	"Male"	"M"	"2016"	"2016"	123734	9315632	1328.2
	"60-64 years "	"60-64"	"Male"	"M"	"2017"	"2017"	126948	9557283	1328.3
	"60-64 years "	"60-64"	"Male"	"M"	"2018"	"2018"	130012	9729536	1336.3
	"60-64 years "	"60-64"	"Male"	"M"	"2019"	"2019"	130870	9856730	1327.7
	"60-64 years "	"60-64"	"Male"	"M"	"2020 "	"2020"	157467	9977506	1578.2
"Total"	"60-64 years "	"60-64"	"Male"	"M"			2287179	168055475	1361.0
"Total"	"60-64 years "	"60-64"					3812696	351270761	1085.4
	"65-69 years"	"65-69"	"Female"	"F"	"1999"	"1999"	79166	5141988	1539.6
	"65-69 years"	"65-69"	"Female"	"F"	"2000"	"2000"	77804	5133183	1515.7
	"65-69 years"	"65-69"	"Female"	"F"	"2001"	"2001"	76122	5134618	1482.5
	"65-69 years"	"65-69"	"Female"	"F"	"2002"	"2002"	75001	5163814	1452.4
	"65-69 years"	"65-69"	"Female"	"F"	"2003"	"2003"	74502	5253706	1418.1
	"65-69 years"	"65-69"	"Female"	"F"	"2004"	"2004"	73529	5370418	1369.1
	"65-69 years"	"65-69"	"Female"	"F"	"2005"	"2005"	73824	5469500	1349.7
	"65-69 years"	"65-69"	"Female"	"F"	"2006"	"2006"	73162	5609202	1304.3
	"65-69 years"	"65-69"	"Female"	"F"	"2007"	"2007"	74499	5824805	1279.0
	"65-69 years"	"65-69"	"Female"	"F"	"2008"	"2008"	78047	6147908	1269.5
	"65-69 years"	"65-69"	"Female"	"F"	"2009"	"2009"	78573	6407878	1226.2
	"65-69 years"	"65-69"	"Female"	"F"	"2010"	"2010"	80443	6582716	1222.0
	"65-69 years"	"65-69"	"Female"	"F"	"2011"	"2011"	82102	6801858	1207.1
	"65-69 years"	"65-69"	"Female"	"F"	"2012"	"2012"	86575	7370497	1174.6
	"65-69 years"	"65-69"	"Female"	"F"	"2013"	"2013"	90185	7695527	1171.9
	"65-69 years"	"65-69"	"Female"	"F"	"2014"	"2014"	93032	8076160	1151.9
	"65-69 years"	"65-69"	"Female"	"F"	"2015"	"2015"	97852	8471278	1155.1
	"65-69 years"	"65-69"	"Female"	"F"	"2016"	"2016"	102266	8883164	1151.2
	"65-69 years"	"65-69"	"Female"	"F"	"2017"	"2017"	102829	8906513	1154.5
	"65-69 years"	"65-69"	"Female"	"F"	"2018"	"2018"	102698	9052080	1134.5
	"65-69 years"	"65-69"	"Female"	"F"	"2019"	"2019"	103474	9255228	1118.0
	"65-69 years"	"65-69"	"Female"	"F"	"2020 "	"2020"	123652	9483316	1303.9
"Total"	"65-69 years"	"65-69"	"Female"	"F"			1899337	151235357	1255.9
	"65-69 years"	"65-69"	"Male"	"M"	"1999"	"1999"	107529	4399510	2444.1
	"65-69 years"	"65-69"	"Male"	"M"	"2000"	"2000"	103935	4400362	2362.0
	"65-69 years"	"65-69"	"Male"	"M"	"2001"	"2001"	102110	4427615	2306.2
	"65-69 years"	"65-69"	"Male"	"M"	"2002"	"2002"	100590	4474667	2248.0
	"65-69 years"	"65-69"	"Male"	"M"	"2003"	"2003"	100315	4577090	2191.7
	"65-69 years"	"65-69"	"Male"	"M"	"2004"	"2004"	98455	4703011	2093.4
	"65-69 years"	"65-69"	"Male"	"M"	"2005"	"2005"	98412	4809127	2046.4
	"65-69 years"	"65-69"	"Male"	"M"	"2006"	"2006"	98721	4943999	1996.8
	"65-69 years"	"65-69"	"Male"	"M"	"2007"	"2007"	100492	5145430	1953.0
	"65-69 years"	"65-69"	"Male"	"M"	"2008"	"2008"	105403	5446439	1935.3
	"65-69 years"	"65-69"	"Male"	"M"	"2009"	"2009"	107198	5684499	1885.8
	"65-69 years"	"65-69"	"Male"	"M"	"2010"	"2010"	109519	5852547	1871.3
	"65-69 years"	"65-69"	"Male"	"M"	"2011"	"2011"	111373	6071930	1834.2
	"65-69 years"	"65-69"	"Male"	"M"	"2012"	"2012"	118915	6606856	1799.9
	"65-69 years"	"65-69"	"Male"	"M"	"2013"	"2013"	124324	6913190	1798.4
	"65-69 years"	"65-69"	"Male"	"M"	"2014"	"2014"	129802	7249106	1790.6
	"65-69 years"	"65-69"	"Male"	"M"	"2015"	"2015"	137630	7596190	1811.8
	"65-69 years"	"65-69"	"Male"	"M"	"2016"	"2016"	144389	7936919	1819.2
	"65-69 years"	"65-69"	"Male"	"M"	"2017"	"2017"	145258	7929868	1831.8
	"65-69 years"	"65-69"	"Male"	"M"	"2018"	"2018"	148548	8034813	1848.8
	"65-69 years"	"65-69"	"Male"	"M"	"2019"	"2019"	150938	8199773	1840.8
	"65-69 years"	"65-69"	"Male"	"M"	"2020 "	"2020"	182736	8390351	2177.9
"Total"	"65-69 years"	"65-69"	"Male"	"M"			2626592	133793292	1963.2
"Total"	"65-69 years"	"65-69"					4525929	285028649	1587.9
	"70-74 years"	"70-74"	"Female"	"F"	"1999"	"1999"	118514	4983436	2378.2
	"70-74 years"	"70-74"	"Female"	"F"	"2000"	"2000"	115997	4954529	2341.2
	"70-74 years"	"70-74"	"Female"	"F"	"2001"	"2001"	113257	4908508	2307.4
	"70-74 years"	"70-74"	"Female"	"F"	"2002"	"2002"	110968	4852844	2286.7
	"70-74 years"	"70-74"	"Female"	"F"	"2003"	"2003"	107574	4794496	2243.7
	"70-74 years"	"70-74"	"Female"	"F"	"2004"	"2004"	103246	4739945	2178.2
	"70-74 years"	"70-74"	"Female"	"F"	"2005"	"2005"	101724	4729069	2151.0
	"70-74 years"	"70-74"	"Female"	"F"	"2006"	"2006"	98766	4741436	2083.0
	"70-74 years"	"70-74"	"Female"	"F"	"2007"	"2007"	96395	4770997	2020.4
	"70-74 years"	"70-74"	"Female"	"F"	"2008"	"2008"	98132	4856336	2020.7
	"70-74 years"	"70-74"	"Female"	"F"	"2009"	"2009"	96665	4967279	1946.0
	"70-74 years"	"70-74"	"Female"	"F"	"2010"	"2010"	97004	5034194	1926.9
	"70-74 years"	"70-74"	"Female"	"F"	"2011"	"2011"	98674	5203567	1896.3
	"70-74 years"	"70-74"	"Female"	"F"	"2012"	"2012"	100836	5412033	1863.2
	"70-74 years"	"70-74"	"Female"	"F"	"2013"	"2013"	106346	5723597	1858.0
	"70-74 years"	"70-74"	"Female"	"F"	"2014"	"2014"	109861	5973085	1839.3
	"70-74 years"	"70-74"	"Female"	"F"	"2015"	"2015"	114817	6186891	1855.8
	"70-74 years"	"70-74"	"Female"	"F"	"2016"	"2016"	117072	6356057	1841.9
	"70-74 years"	"70-74"	"Female"	"F"	"2017"	"2017"	124850	6899793	1809.5
	"70-74 years"	"70-74"	"Female"	"F"	"2018"	"2018"	128169	7194151	1781.6
	"70-74 years"	"70-74"	"Female"	"F"	"2019"	"2019"	131838	7528626	1751.2
	"70-74 years"	"70-74"	"Female"	"F"	"2020 "	"2020"	158856	7882542	2015.3
"Total"	"70-74 years"	"70-74"	"Female"	"F"			2449561	122693411	1996.5
	"70-74 years"	"70-74"	"Male"	"M"	"1999"	"1999"	147391	3893975	3785.1
	"70-74 years"	"70-74"	"Male"	"M"	"2000"	"2000"	143473	3902912	3676.1
	"70-74 years"	"70-74"	"Male"	"M"	"2001"	"2001"	139471	3913438	3563.9
	"70-74 years"	"70-74"	"Male"	"M"	"2002"	"2002"	136431	3897210	3500.7
	"70-74 years"	"70-74"	"Male"	"M"	"2003"	"2003"	131106	3875623	3382.8
	"70-74 years"	"70-74"	"Male"	"M"	"2004"	"2004"	124436	3854159	3228.6
	"70-74 years"	"70-74"	"Male"	"M"	"2005"	"2005"	124395	3874001	3211.0
	"70-74 years"	"70-74"	"Male"	"M"	"2006"	"2006"	119444	3908390	3056.1
	"70-74 years"	"70-74"	"Male"	"M"	"2007"	"2007"	117852	3957495	2977.9
	"70-74 years"	"70-74"	"Male"	"M"	"2008"	"2008"	119997	4054996	2959.2
	"70-74 years"	"70-74"	"Male"	"M"	"2009"	"2009"	118596	4173443	2841.7
	"70-74 years"	"70-74"	"Male"	"M"	"2010"	"2010"	120185	4243972	2831.9
	"70-74 years"	"70-74"	"Male"	"M"	"2011"	"2011"	122903	4404383	2790.5
	"70-74 years"	"70-74"	"Male"	"M"	"2012"	"2012"	126020	4596006	2741.9
	"70-74 years"	"70-74"	"Male"	"M"	"2013"	"2013"	133574	4884452	2734.7
	"70-74 years"	"70-74"	"Male"	"M"	"2014"	"2014"	138846	5099939	2722.5
	"70-74 years"	"70-74"	"Male"	"M"	"2015"	"2015"	144717	5296158	2732.5
	"70-74 years"	"70-74"	"Male"	"M"	"2016"	"2016"	148353	5454190	2720.0
	"70-74 years"	"70-74"	"Male"	"M"	"2017"	"2017"	158673	5947272	2668.0
	"70-74 years"	"70-74"	"Male"	"M"	"2018"	"2018"	164363	6211272	2646.2
	"70-74 years"	"70-74"	"Male"	"M"	"2019"	"2019"	169309	6499806	2604.8
	"70-74 years"	"70-74"	"Male"	"M"	"2020 "	"2020"	209263	6793189	3080.5
"Total"	"70-74 years"	"70-74"	"Male"	"M"			3058798	102736281	2977.3
"Total"	"70-74 years"	"70-74"					5508359	225429692	2443.5
	"75-79 years"	"75-79"	"Female"	"F"	"1999"	"1999"	163496	4331221	3774.8
	"75-79 years"	"75-79"	"Female"	"F"	"2000"	"2000"	164373	4371357	3760.2
	"75-79 years"	"75-79"	"Female"	"F"	"2001"	"2001"	162366	4378159	3708.5
	"75-79 years"	"75-79"	"Female"	"F"	"2002"	"2002"	160515	4368692	3674.2
	"75-79 years"	"75-79"	"Female"	"F"	"2003"	"2003"	157831	4365982	3615.0
	"75-79 years"	"75-79"	"Female"	"F"	"2004"	"2004"	150438	4321319	3481.3
	"75-79 years"	"75-79"	"Female"	"F"	"2005"	"2005"	148774	4299256	3460.5
	"75-79 years"	"75-79"	"Female"	"F"	"2006"	"2006"	143483	4269136	3360.9
	"75-79 years"	"75-79"	"Female"	"F"	"2007"	"2007"	139360	4225224	3298.3
	"75-79 years"	"75-79"	"Female"	"F"	"2008"	"2008"	138166	4178497	3306.6
	"75-79 years"	"75-79"	"Female"	"F"	"2009"	"2009"	131754	4135780	3185.7
	"75-79 years"	"75-79"	"Female"	"F"	"2010"	"2010"	130342	4135407	3151.9
	"75-79 years"	"75-79"	"Female"	"F"	"2011"	"2011"	129905	4155949	3125.8
	"75-79 years"	"75-79"	"Female"	"F"	"2012"	"2012"	129512	4198131	3085.0
	"75-79 years"	"75-79"	"Female"	"F"	"2013"	"2013"	131148	4287534	3058.8
	"75-79 years"	"75-79"	"Female"	"F"	"2014"	"2014"	132813	4410758	3011.1
	"75-79 years"	"75-79"	"Female"	"F"	"2015"	"2015"	136686	4512927	3028.8
	"75-79 years"	"75-79"	"Female"	"F"	"2016"	"2016"	138044	4644276	2972.3
	"75-79 years"	"75-79"	"Female"	"F"	"2017"	"2017"	143993	4842445	2973.6
	"75-79 years"	"75-79"	"Female"	"F"	"2018"	"2018"	149773	5122392	2923.9
	"75-79 years"	"75-79"	"Female"	"F"	"2019"	"2019"	152997	5334166	2868.2
	"75-79 years"	"75-79"	"Female"	"F"	"2020 "	"2020"	182440	5513149	3309.2
"Total"	"75-79 years"	"75-79"	"Female"	"F"			3218209	98401757	3270.5
	"75-79 years"	"75-79"	"Male"	"M"	"1999"	"1999"	174853	3011385	5806.4
	"75-79 years"	"75-79"	"Male"	"M"	"2000"	"2000"	173327	3044456	5693.2
	"75-79 years"	"75-79"	"Male"	"M"	"2001"	"2001"	171311	3077254	5567.0
	"75-79 years"	"75-79"	"Male"	"M"	"2002"	"2002"	169625	3101769	5468.7
	"75-79 years"	"75-79"	"Male"	"M"	"2003"	"2003"	167354	3131860	5343.6
	"75-79 years"	"75-79"	"Male"	"M"	"2004"	"2004"	160308	3140080	5105.2
	"75-79 years"	"75-79"	"Male"	"M"	"2005"	"2005"	159114	3164353	5028.3
	"75-79 years"	"75-79"	"Male"	"M"	"2006"	"2006"	154227	3177898	4853.1
	"75-79 years"	"75-79"	"Male"	"M"	"2007"	"2007"	149669	3175139	4713.8
	"75-79 years"	"75-79"	"Male"	"M"	"2008"	"2008"	149204	3167246	4710.8
	"75-79 years"	"75-79"	"Male"	"M"	"2009"	"2009"	143233	3159284	4533.7
	"75-79 years"	"75-79"	"Male"	"M"	"2010"	"2010"	143006	3182388	4493.7
	"75-79 years"	"75-79"	"Male"	"M"	"2011"	"2011"	142371	3232738	4404.0
	"75-79 years"	"75-79"	"Male"	"M"	"2012"	"2012"	142424	3291452	4327.1
	"75-79 years"	"75-79"	"Male"	"M"	"2013"	"2013"	146166	3390347	4311.2
	"75-79 years"	"75-79"	"Male"	"M"	"2014"	"2014"	149259	3511566	4250.5
	"75-79 years"	"75-79"	"Male"	"M"	"2015"	"2015"	153719	3610906	4257.1
	"75-79 years"	"75-79"	"Male"	"M"	"2016"	"2016"	156851	3723619	4212.3
	"75-79 years"	"75-79"	"Male"	"M"	"2017"	"2017"	163505	3898816	4193.7
	"75-79 years"	"75-79"	"Male"	"M"	"2018"	"2018"	171972	4144674	4149.2
	"75-79 years"	"75-79"	"Male"	"M"	"2019"	"2019"	176496	4318499	4087.0
	"75-79 years"	"75-79"	"Male"	"M"	"2020 "	"2020"	215751	4473684	4822.7
"Total"	"75-79 years"	"75-79"	"Male"	"M"			3533745	75129413	4703.5
"Total"	"75-79 years"	"75-79"					6751954	173531170	3890.9
	"80-84 years"	"80-84"	"Female"	"F"	"1999"	"1999"	194124	3079977	6302.8
	"80-84 years"	"80-84"	"Female"	"F"	"2000"	"2000"	195853	3110470	6296.6
	"80-84 years"	"80-84"	"Female"	"F"	"2001"	"2001"	198821	3211574	6190.8
	"80-84 years"	"80-84"	"Female"	"F"	"2002"	"2002"	203635	3295412	6179.3
	"80-84 years"	"80-84"	"Female"	"F"	"2003"	"2003"	202861	3347175	6060.7
	"80-84 years"	"80-84"	"Female"	"F"	"2004"	"2004"	200123	3417423	5856.0
	"80-84 years"	"80-84"	"Female"	"F"	"2005"	"2005"	202656	3454579	5866.3
	"80-84 years"	"80-84"	"Female"	"F"	"2006"	"2006"	196540	3463549	5674.5
	"80-84 years"	"80-84"	"Female"	"F"	"2007"	"2007"	192519	3469267	5549.3
	"80-84 years"	"80-84"	"Female"	"F"	"2008"	"2008"	193498	3477946	5563.6
	"80-84 years"	"80-84"	"Female"	"F"	"2009"	"2009"	184941	3454860	5353.1
	"80-84 years"	"80-84"	"Female"	"F"	"2010"	"2010"	183479	3448953	5319.8
	"80-84 years"	"80-84"	"Female"	"F"	"2011"	"2011"	183627	3446248	5328.3
	"80-84 years"	"80-84"	"Female"	"F"	"2012"	"2012"	180235	3426353	5260.3
	"80-84 years"	"80-84"	"Female"	"F"	"2013"	"2013"	178525	3398468	5253.1
	"80-84 years"	"80-84"	"Female"	"F"	"2014"	"2014"	175261	3378554	5187.5
	"80-84 years"	"80-84"	"Female"	"F"	"2015"	"2015"	177034	3386676	5227.4
	"80-84 years"	"80-84"	"Female"	"F"	"2016"	"2016"	174053	3412384	5100.6
	"80-84 years"	"80-84"	"Female"	"F"	"2017"	"2017"	177095	3456231	5123.9
	"80-84 years"	"80-84"	"Female"	"F"	"2018"	"2018"	178244	3536942	5039.5
	"80-84 years"	"80-84"	"Female"	"F"	"2019"	"2019"	179930	3637483	4946.6
	"80-84 years"	"80-84"	"Female"	"F"	"2020 "	"2020"	210786	3715123	5673.7
"Total"	"80-84 years"	"80-84"	"Female"	"F"			4163840	75025647	5549.9
	"80-84 years"	"80-84"	"Male"	"M"	"1999"	"1999"	166117	1802331	9216.8
	"80-84 years"	"80-84"	"Male"	"M"	"2000"	"2000"	166892	1834897	9095.4
	"80-84 years"	"80-84"	"Male"	"M"	"2001"	"2001"	169431	1926631	8794.2
	"80-84 years"	"80-84"	"Male"	"M"	"2002"	"2002"	173879	1998991	8698.3
	"80-84 years"	"80-84"	"Male"	"M"	"2003"	"2003"	174978	2051421	8529.6
	"80-84 years"	"80-84"	"Male"	"M"	"2004"	"2004"	173361	2111081	8212.0
	"80-84 years"	"80-84"	"Male"	"M"	"2005"	"2005"	176121	2156614	8166.6
	"80-84 years"	"80-84"	"Male"	"M"	"2006"	"2006"	173088	2184568	7923.2
	"80-84 years"	"80-84"	"Male"	"M"	"2007"	"2007"	171134	2217809	7716.4
	"80-84 years"	"80-84"	"Male"	"M"	"2008"	"2008"	172692	2252413	7667.0
	"80-84 years"	"80-84"	"Male"	"M"	"2009"	"2009"	167799	2272851	7382.8
	"80-84 years"	"80-84"	"Male"	"M"	"2010"	"2010"	168824	2294374	7358.2
	"80-84 years"	"80-84"	"Male"	"M"	"2011"	"2011"	170322	2340295	7277.8
	"80-84 years"	"80-84"	"Male"	"M"	"2012"	"2012"	168257	2356698	7139.5
	"80-84 years"	"80-84"	"Male"	"M"	"2013"	"2013"	169174	2370170	7137.6
	"80-84 years"	"80-84"	"Male"	"M"	"2014"	"2014"	167171	2381812	7018.6
	"80-84 years"	"80-84"	"Male"	"M"	"2015"	"2015"	170127	2412665	7051.4
	"80-84 years"	"80-84"	"Male"	"M"	"2016"	"2016"	167968	2453255	6846.7
	"80-84 years"	"80-84"	"Male"	"M"	"2017"	"2017"	173166	2509059	6901.6
	"80-84 years"	"80-84"	"Male"	"M"	"2018"	"2018"	175216	2590366	6764.1
	"80-84 years"	"80-84"	"Male"	"M"	"2019"	"2019"	178604	2679724	6665.0
	"80-84 years"	"80-84"	"Male"	"M"	"2020 "	"2020"	213107	2749591	7750.5
"Total"	"80-84 years"	"80-84"	"Male"	"M"			3807428	49947616	7622.8
"Total"	"80-84 years"	"80-84"					7971268	124973263	6378.4
	"85-89 years"	"85-89"	"Female"	"F"	"1999"	"1999"	204372	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2000"	"2000"	206936	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2001"	"2001"	209370	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2002"	"2002"	210748	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2003"	"2003"	211670	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2004"	"2004"	204473	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2005"	"2005"	211586	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2006"	"2006"	210303	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2007"	"2007"	213110	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2008"	"2008"	220206	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2009"	"2009"	216621	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2010"	"2010"	221737	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2011"	"2011"	224047	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2012"	"2012"	222936	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2013"	"2013"	223972	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2014"	"2014"	216930	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2015"	"2015"	221815	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2016"	"2016"	216416	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2017"	"2017"	216170	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2018"	"2018"	214117	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2019"	"2019"	209036	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2020 "	"2020"	241356	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"Female"	"F"			4747927	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"1999"	"1999"	126531	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2000"	"2000"	128877	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2001"	"2001"	130405	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2002"	"2002"	134637	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2003"	"2003"	135177	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2004"	"2004"	133667	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2005"	"2005"	139812	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2006"	"2006"	141809	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2007"	"2007"	146114	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2008"	"2008"	152346	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2009"	"2009"	152511	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2010"	"2010"	157700	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2011"	"2011"	159865	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2012"	"2012"	161326	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2013"	"2013"	165286	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2014"	"2014"	164609	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2015"	"2015"	168932	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2016"	"2016"	168063	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2017"	"2017"	171951	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2018"	"2018"	170999	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2019"	"2019"	169880	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2020 "	"2020"	197895	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"Male"	"M"			3378392	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"					8126319	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"1999"	"1999"	151480	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2000"	"2000"	154844	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2001"	"2001"	155787	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2002"	"2002"	159770	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2003"	"2003"	161241	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2004"	"2004"	157493	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2005"	"2005"	164680	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2006"	"2006"	162848	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2007"	"2007"	162703	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2008"	"2008"	169166	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2009"	"2009"	162834	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2010"	"2010"	170938	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2011"	"2011"	179839	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2012"	"2012"	185024	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2013"	"2013"	190137	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2014"	"2014"	192979	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2015"	"2015"	201120	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2016"	"2016"	197434	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2017"	"2017"	202170	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2018"	"2018"	201265	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2019"	"2019"	198208	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2020 "	"2020"	226542	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"Female"	"F"			3908502	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"1999"	"1999"	62511	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2000"	"2000"	64439	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2001"	"2001"	65527	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2002"	"2002"	68817	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2003"	"2003"	70162	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2004"	"2004"	70168	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2005"	"2005"	75026	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2006"	"2006"	75514	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2007"	"2007"	77477	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2008"	"2008"	82215	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2009"	"2009"	82700	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2010"	"2010"	88586	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2011"	"2011"	94374	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2012"	"2012"	99249	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2013"	"2013"	104050	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2014"	"2014"	107387	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2015"	"2015"	112676	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2016"	"2016"	113337	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2017"	"2017"	117273	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2018"	"2018"	118804	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2019"	"2019"	119275	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2020 "	"2020"	139144	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"Male"	"M"			2008711	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"					5917213	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Female"	"F"	"1999"	"1999"	65223	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Female"	"F"	"2000"	"2000"	66089	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Female"	"F"	"2001"	"2001"	67222	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Female"	"F"	"2002"	"2002"	68760	Not Applicable	Not Applicable
