age_cat,male_years_lost,female_years_lost
1-4 years,203.08727807203934,191.65380177278158
10-14 years,168.87352757650746,157.24369038880403
15-19 years,230.80156864955907,176.12787680344263
20-24 years,297.6084945822458,221.27462501254124
25-29 years,364.5640502052489,353.40968496692795
30-34 years,500.3894811773154,642.2797407819373
35-39 years,765.9357024589613,1123.2923045128264
40-44 years,1333.5511820642719,1870.3054805929557
45-49 years,2464.6125804467697,2980.2768236913867
5-9 years,182.41825101751445,172.88921359559907
50-54 years,4273.049619561942,4423.084823367908
55-59 years,6676.150438089511,6095.387359030683
60-64 years,9280.022224026841,7892.342105017275
65-69 years,11549.802959947667,9435.730769830292
70-74 years,13334.790469299674,10641.183284294488
75-79 years,14344.243173084718,11074.976104580632
80-84 years,14395.827254248263,10541.66849677201
< 1 year,222.13948146234387,241.7623451984388
