mrr,excess_aamr,Year
1.4361211600380566,65.426198631354,2000
1.429217449803321,63.34857790817301,2001
1.4204876340699917,61.393266633443005,2002
1.4095836010007592,58.88893821000602,2003
1.4028764993594887,56.743485585575996,2004
1.4023162156670408,56.01268726208099,2005
1.3863493805908915,53.183833366588004,2006
1.3859881425915617,52.20475100682302,2007
1.3922043179771555,51.944577097701,2008
1.3819473345708477,49.890486954918,2009
1.3802700312776426,49.262315778920026,2010
1.3729499352120913,47.356903513096995,2011
1.3663975872883891,45.969053810478,2012
1.359169902432903,44.233336561754015,2013
1.353728842635462,43.08459664083999,2014
1.351422325202496,42.051513241516986,2015
1.3367613497892317,39.743112968934014,2016
1.3334665165543176,38.419579323538,2017
1.326730048475238,36.834875868991986,2018
1.3287885522291563,36.155590088508006,2019
1.3205922475191207,34.91218421248999,2020
1.2948647132535613,32.336273234979984,2021
1.2858710399301883,30.932263476358003,2022
