Year,Excess YPLL Rate,Excess YPLL Number
2000,964.2904485380059,1300611.3125862642
2001,918.8131291802529,1254921.1738230113
2002,898.4014964995758,1239081.4081823165
2003,869.7951626800113,1209515.05172774
2004,858.6068625175558,1205455.4519521953
2005,850.3570844917967,1205002.9539466526
2006,808.0118903762668,1155966.5032156573
2007,811.1211150084364,1170859.8347060205
2008,827.660872693803,1206045.0023563686
2009,790.0569074569894,1161602.4128188803
2010,803.6954141298629,1189287.3446769337
2011,784.360506159343,1171466.6056269887
2012,762.0699755064347,1147001.3965616175
2013,723.9735160679152,1097493.8455082048
2014,701.9123796221825,1072590.6297300698
2015,695.5656199043515,1071309.2287630953
2016,641.9369155985519,993869.855297378
2017,605.5335139573403,945318.3512447646
2018,584.5820291571381,916826.1914478663
2019,560.2334020169278,881503.2744816956
2020,529.5917459694397,836402.0810595403
2021,366.10738267125726,587189.7351838759
2022,382.72542970366703,616635.1909328015
