Five-Year Age Groups,Gender,Deaths,Year
15-19 years,Male,17,2001
15-19 years,Male,13,2002
15-19 years,Male,23,2003
15-19 years,Male,22,2004
15-19 years,Male,21,2005
15-19 years,Male,18,2006
15-19 years,Male,19,2007
15-19 years,Male,10,2008
15-19 years,Male,21,2009
15-19 years,Male,20,2010
15-19 years,Male,14,2011
15-19 years,Male,20,2012
15-19 years,Male,17,2013
15-19 years,Male,11,2014
15-19 years,Male,14,2015
15-19 years,Male,15,2016
15-19 years,Male,12,2017
15-19 years,Male,11,2018
15-19 years,Male,10,2019
15-19 years,Male,10,2020
20-24 years,Female,66,1999
20-24 years,Female,71,2000
20-24 years,Female,89,2001
20-24 years,Female,83,2002
20-24 years,Female,81,2003
20-24 years,Female,69,2004
20-24 years,Female,79,2005
20-24 years,Female,76,2006
20-24 years,Female,78,2007
20-24 years,Female,71,2008
20-24 years,Female,68,2009
20-24 years,Female,53,2010
20-24 years,Female,49,2011
20-24 years,Female,64,2012
20-24 years,Female,63,2013
20-24 years,Female,44,2014
20-24 years,Female,58,2015
20-24 years,Female,52,2016
20-24 years,Female,52,2017
20-24 years,Female,45,2018
20-24 years,Female,37,2019
20-24 years,Female,50,2020
20-24 years,Male,23,1999
20-24 years,Male,36,2000
20-24 years,Male,25,2001
20-24 years,Male,21,2002
20-24 years,Male,25,2003
20-24 years,Male,32,2004
20-24 years,Male,31,2005
20-24 years,Male,36,2006
20-24 years,Male,32,2007
20-24 years,Male,29,2008
20-24 years,Male,37,2009
20-24 years,Male,30,2010
20-24 years,Male,25,2011
20-24 years,Male,22,2012
20-24 years,Male,36,2013
20-24 years,Male,38,2014
20-24 years,Male,24,2015
20-24 years,Male,24,2016
20-24 years,Male,31,2017
20-24 years,Male,25,2018
20-24 years,Male,21,2019
20-24 years,Male,27,2020
25-29 years,Female,95,1999
25-29 years,Female,102,2000
25-29 years,Female,91,2001
25-29 years,Female,89,2002
25-29 years,Female,101,2003
25-29 years,Female,104,2004
25-29 years,Female,96,2005
25-29 years,Female,114,2006
25-29 years,Female,100,2007
25-29 years,Female,94,2008
25-29 years,Female,86,2009
25-29 years,Female,76,2010
25-29 years,Female,69,2011
25-29 years,Female,77,2012
25-29 years,Female,73,2013
25-29 years,Female,80,2014
25-29 years,Female,63,2015
25-29 years,Female,97,2016
25-29 years,Female,74,2017
25-29 years,Female,84,2018
25-29 years,Female,75,2019
25-29 years,Female,54,2020
25-29 years,Male,29,1999
25-29 years,Male,43,2000
25-29 years,Male,32,2001
25-29 years,Male,37,2002
25-29 years,Male,36,2003
25-29 years,Male,28,2004
25-29 years,Male,27,2005
25-29 years,Male,38,2006
25-29 years,Male,44,2007
25-29 years,Male,39,2008
25-29 years,Male,36,2009
25-29 years,Male,31,2010
25-29 years,Male,26,2011
25-29 years,Male,33,2012
25-29 years,Male,24,2013
25-29 years,Male,39,2014
25-29 years,Male,40,2015
25-29 years,Male,30,2016
25-29 years,Male,29,2017
25-29 years,Male,29,2018
25-29 years,Male,34,2019
25-29 years,Male,42,2020
30-34 years,Female,119,1999
30-34 years,Female,120,2000
30-34 years,Female,122,2001
30-34 years,Female,108,2002
30-34 years,Female,143,2003
30-34 years,Female,103,2004
30-34 years,Female,123,2005
30-34 years,Female,107,2006
30-34 years,Female,112,2007
30-34 years,Female,104,2008
30-34 years,Female,100,2009
30-34 years,Female,117,2010
30-34 years,Female,101,2011
30-34 years,Female,106,2012
30-34 years,Female,110,2013
30-34 years,Female,103,2014
30-34 years,Female,101,2015
30-34 years,Female,97,2016
30-34 years,Female,99,2017
30-34 years,Female,92,2018
30-34 years,Female,96,2019
30-34 years,Female,100,2020
30-34 years,Male,48,1999
30-34 years,Male,52,2000
30-34 years,Male,49,2001
30-34 years,Male,48,2002
30-34 years,Male,44,2003
30-34 years,Male,41,2004
30-34 years,Male,47,2005
30-34 years,Male,44,2006
30-34 years,Male,58,2007
30-34 years,Male,50,2008
30-34 years,Male,60,2009
30-34 years,Male,35,2010
30-34 years,Male,43,2011
