mrr,excess_aamr,Year
1.6817676205653287,115.19578233081901,2000
1.6601517607514842,107.85102787061501,2001
1.660684348535017,105.07169153416399,2002
1.6662860729032598,101.728702119482,2003
1.6587958450302756,94.64508894279899,2004
1.6594163696442177,91.56572360122499,2005
1.674785334535606,88.32911029525698,2006
1.6809630508611817,84.745030927681,2007
1.6736170531439483,81.82565734658301,2008
1.6956186702497695,80.28612076485699,2009
1.7038161141151629,78.94726063084401,2010
1.7026735288204211,76.85206157520498,2011
1.7084896506559817,75.71944947865701,2012
1.7311485206463788,77.366189865147,2013
1.730144635074797,76.58344456370001,2014
1.7128248432829807,75.921874497481,2015
1.7273892263135366,76.45904451407701,2016
1.7352815362849052,76.674509016941,2017
1.7555482413225487,77.50886217931,2018
1.757998011622508,76.853791308733,2019
1.7794465285064593,83.248220625722,2020
1.732766628863857,80.96474430556,2021
1.7289734474939094,78.876798243461,2022
