Gender,Year,yrs_lost
Female,2000,4968.061610081695
Female,2001,4883.364203576214
Female,2002,4758.20234049211
Female,2003,4617.281156742689
Female,2004,4439.82643773759
Female,2005,4116.609290514711
Female,2006,3942.342872405795
Female,2007,3763.7762718444305
Female,2008,3709.0724275805396
Female,2009,3597.8104886020237
Female,2010,3482.9023417921685
Female,2011,3399.6707664540827
Female,2012,3333.465874790565
Female,2013,3303.071331886758
Female,2014,3298.3101591369755
Female,2015,3328.3136236584637
Female,2016,3318.047492100833
Female,2017,3277.219050369281
Female,2018,3233.2308548379833
Female,2019,3220.402468017127
Female,2020,3262.1570491523657
Female,2021,3360.193265654269
Female,2022,3352.3196163185535
Male,2000,7143.334129939093
Male,2001,6899.64122901908
Male,2002,6756.984304570932
Male,2003,6599.266164129562
Male,2004,6324.825219669675
Male,2005,5936.773356742327
Male,2006,5751.824404067174
Male,2007,5534.4204578337185
Male,2008,5428.542884488406
Male,2009,5316.021034103305
Male,2010,5204.73307565227
Male,2011,5101.370469888979
Male,2012,5027.6498313469465
Male,2013,5043.7950720529025
Male,2014,5026.664935654538
Male,2015,5043.903285172462
Male,2016,5062.188006087589
Male,2017,5022.749340182869
Male,2018,5027.904010398322
Male,2019,4984.793316853378
Male,2020,5162.9467218224245
Male,2021,5042.995963799982
Male,2022,5080.074821716867
