Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	0.868365745008798	1350	128472895	1.05080530799901
F	2001	0.848324050295036	1338	134557497	0.994370458600311
F	2002	0.870051605249411	1385	124119803	1.11585739464959
F	2003	0.993071045205159	1592	142608427	1.11634356642893
F	2004	0.998780892287903	1627	134345255	1.21105877539181
F	2005	0.940726444285511	1550	145113384	1.06813028355813
F	2006	0.878344760963757	1469	140610016	1.0447335415992
F	2007	0.855333394274882	1437	138052180	1.04091076287242
F	2008	0.875932936697036	1477	151070989	0.977686059895987
F	2009	0.875706469443268	1497	142457377	1.05084063144024
F	2010	0.803110395210857	1392	151330581	0.919840517892415
F	2011	0.85173164618621	1507	142387301	1.0583809015384
F	2012	0.815853897430857	1475	133158153	1.10770536145842
F	2013	0.855599453022997	1562	138626009	1.12677268231822
F	2014	0.871223877680686	1617	150076545	1.07745017717459
F	2015	0.899493529258594	1717	149048616	1.15197312533248
F	2016	0.932020566486085	1805	139793725	1.29118814167088
F	2017	0.925605522988606	1850	143129917	1.29253201481281
F	2018	0.964180669425621	1969	143800888	1.36925440961116
F	2019	0.9125350935853	1917	152786253	1.25469403323871
F	2020	1.01867238734012	2150	141106912	1.52366738774639
F	2021	1.13952645836767	2419	135874244	1.78032269309259
F	2022	1.31908571959475	2869	143470965	1.99970774574493
M	2000	0.798796389956312	937	126303288	0.74186508905453
M	2001	0.824266591791572	1001	138630428	0.722063701628332
M	2002	0.8566793732166	1059	139939197	0.756757236501793
M	2003	0.892233459292666	1131	119409619	0.94715987662602
M	2004	0.892342660428047	1147	132497707	0.865675358442241
M	2005	0.926321203215243	1217	119789901	1.01594540928788
M	2006	0.867852353339436	1171	145128875	0.806869067234208
M	2007	0.90399077241651	1233	146471618	0.841801310612954
M	2008	0.877603910116085	1230	137228956	0.896312291408819
M	2009	0.892332793444443	1270	149072107	0.851936707381482
M	2010	0.895112386271179	1308	131296858	0.996215766259997
M	2011	0.875769717883992	1304	143141004	0.910989837684805
M	2012	0.871684407498628	1322	144328637	0.915965138643969
M	2013	0.911528129637421	1434	151593093	0.945953388522787
M	2014	0.912803554960909	1470	144349189	1.01836387871912
M	2015	0.961673300496806	1594	132762866	1.20063693111295
M	2016	0.971073677808109	1652	135905425	1.21555118200764
M	2017	0.983522355349816	1692	139579491	1.21221247324938
M	2018	1.01537039594052	1802	137369238	1.3117929648849
M	2019	1.05609016379214	1882	148958074	1.2634427590679
M	2020	1.10290765992828	2031	151888493	1.33716515312322
M	2021	1.25214569140105	2346	154405949	1.51937151074406
M	2022	1.38205057354608	2660	152297873	1.74657724865271
