Year,ageadjrate_male,ageadjrate_female
2000,799.381773843277,508.277991849435
2001,782.773562525882,502.180623210228
2002,773.906401769528,498.201660351534
2003,759.925788292121,491.075920448363
2004,731.7166221337,475.771612645702
2005,728.6288664337,473.781836601218
2006,709.606434843274,462.273509404782
2007,692.374601495642,451.792366422681
2008,686.457223692937,450.492105116291
2009,666.4018766737,438.614759536281
2010,658.015713231633,432.369361384856
2011,650.690191219708,430.637677783486
2012,642.700651504578,425.431207833609
2013,642.460774338607,424.842955146208
2014,639.019085208216,422.716673901343
2015,645.277140717424,426.140479390844
2016,647.954024210637,425.017585747047
2017,648.335641131928,424.048434326966
2018,642.464751493645,417.549192228457
2019,637.524597900051,412.008001564907
2020,757.812655249105,475.562976471785
2021,794.993230738224,508.503647790311
2022,718.497545716012,464.30106317811
