Gender,Year,yrs_lost
Female,2000,565.4063104118917
Female,2001,580.4437312527206
Female,2002,576.3957365091034
Female,2003,579.4929245002584
Female,2004,573.4374145671351
Female,2005,547.313090091956
Female,2006,551.1496226928837
Female,2007,550.2236844907366
Female,2008,558.7207700990459
Female,2009,553.1373688725673
Female,2010,552.5613499435328
Female,2011,563.3302893819454
Female,2012,562.3312876183339
Female,2013,567.6488335727038
Female,2014,582.10349867548
Female,2015,597.0390813723216
Female,2016,598.406067144035
Female,2017,597.6330310527454
Female,2018,599.7882450790694
Female,2019,621.5257680636906
Female,2020,667.7056957988774
Female,2021,723.7882609402781
Female,2022,721.40528257129
Male,2000,766.3238240318832
Male,2001,769.7116038034936
Male,2002,768.8652078868972
Male,2003,778.4198352155568
Male,2004,759.7788149801162
Male,2005,739.7601352399334
Male,2006,736.7582041985772
Male,2007,750.2839840055829
Male,2008,760.5413774735712
Male,2009,748.6619318133132
Male,2010,760.3385069475016
Male,2011,764.0698480114357
Male,2012,771.6877992318772
Male,2013,781.6884495355562
Male,2014,785.888593192787
Male,2015,798.1345537010051
Male,2016,799.4205890404639
Male,2017,794.4674564353388
Male,2018,804.6732968623927
Male,2019,820.0599607293989
Male,2020,895.0791419049614
Male,2021,930.7029573153196
Male,2022,924.3909435441336
