Year,Excess YPLL Rate,Excess YPLL Number
2000,200.9175136199915,270992.6158732106
2001,189.26787255077306,258503.3378879856
2002,192.46947137779387,265455.1940931851
2003,198.9269107152984,276622.70730789274
2004,186.3414004129811,261617.12287460573
2005,192.4470451479774,272708.0918249875
2006,185.60858150569356,265537.30890029605
2007,200.0602995148463,288788.6468332828
2008,201.82060737452525,294087.52174590447
2009,195.5245629407459,287475.2463191292
2010,207.7771570039688,307463.1744730154
2011,200.73955862949038,299810.72162113205
2012,209.35651161354326,315105.1988899345
2013,214.0396159628524,324469.2740834097
2014,203.78509451730702,311403.515885521
2015,201.0954723286835,309726.97500175075
2016,201.01452189642896,311217.92334313004
2017,196.8344253825934,307284.7170008042
2018,204.88505178332332,321330.4076109564
2019,198.53419266570825,312385.05291070393
2020,227.37344610608397,359098.54137300333
2021,206.91469637504156,331864.8886116862
2022,202.98566097284368,327044.1211798346
