age_cat,male_years_lost,female_years_lost
1-4 years,46.41599320295014,38.60681647951
10-14 years,18.170337117075533,17.397119390228827
15-19 years,26.22397724763633,22.90389778228858
20-24 years,54.77582391373563,43.364247972222536
25-29 years,125.8239951604819,91.05923551679788
30-34 years,258.06014698509887,177.7436102099847
35-39 years,444.9795858217311,301.46504692514816
40-44 years,716.2797566498508,466.7118143116478
45-49 years,1092.0552765236603,654.2654469674144
5-9 years,16.66337223724822,15.33078538628319
50-54 years,1449.2816291567137,817.9987009288399
55-59 years,1610.208367461403,919.1640849797019
60-64 years,1585.0774076903683,1000.1701952392216
65-69 years,1475.4585081892244,1093.4345030328352
70-74 years,1438.8402642777623,1267.9606692111072
75-79 years,1494.5293950381697,1451.0676315160365
80-84 years,1606.5048266624826,1666.868579365698
< 1 year,722.0461496732181,562.2499711491565
