Year,Excess YPLL Rate,Excess YPLL Number
2000,1.9805230838991772,1955.3876514792569
2001,0.16846693175101723,200.41440936934973
2002,1.1035964107017726,1276.5029080747502
2003,-1.9741907647630574,-1850.9757150133469
2004,-1.2041734163090263,-1503.6078261178159
2005,0.1561555419678049,194.55115251239684
2006,1.1285485654745546,1167.2504118481995
2007,-3.5295075776113185,-4495.750231008195
2008,-1.0668695245563935,-1472.4766639594561
2009,-2.8150590280150105,-2973.71507921977
2010,1.010209801109157,1187.2379968541165
2011,1.0751257368170766,1040.523513809348
2012,-1.489896257161051,-2046.831471752722
2013,1.717644926558446,1847.9363671690592
2014,-0.02215736082941344,-27.43505761400154
2015,1.9331010169461162,2139.2279070102536
2016,0.3370999837095825,378.75494327259906
2017,0.11496227971536355,145.67337669438479
2018,1.4233278025302911,1990.1287306409617
2019,0.710395493922011,797.3027851602461
2020,0.8407354108199514,1118.0041986781614
2021,-0.615192483360123,-898.7833606662375
2022,-0.2671779683097961,-381.92388693362614
