mrr,excess_aamr,Year
1.243508723798729,1.1260102538887606,2000
1.250554476608599,1.08156462067606,2001
1.2427503506263748,1.0964666264644896,2002
1.2650145474314056,1.1884610603206802,2003
1.2626160053961228,1.156280305507,2004
1.2316407254513233,1.0575496832028097,2005
1.2205287044805369,0.9966579420058101,2006
1.2321590081813463,1.02821920491854,2007
1.2625626648010324,1.10172721447596,2008
1.2435185763547194,0.9985956584017996,2009
1.2235981671649132,0.86733287308873,2010
1.1905549382370935,0.7354846114501603,2011
1.223700182571676,0.85474507572901,2012
1.1961514900736752,0.7688987628696502,2013
1.2370833502960448,0.8964513463519497,2014
1.1887949423822708,0.7144469060748397,2015
1.2016729997803905,0.74449815160611,2016
1.2574667510698074,0.9034282539921494,2017
1.2615061068898663,0.90436162574726,2018
1.2352992802121079,0.8138135073387902,2019
1.2077354705960888,0.6844522620345597,2020
1.177373315183256,0.6138522105448203,2021
1.2069940507359476,0.7307741262989396,2022
