age_cat,male_years_lost,female_years_lost
1-4 years,31.39190432559449,24.83058573026873
10-14 years,3.298660698290117,3.0948041165641946
15-19 years,2.7617435894091633,3.6259745588424472
20-24 years,2.658941403527474,2.9622514982931087
25-29 years,2.302653527727618,2.6494405253135733
30-34 years,2.445482395521225,2.2487346811796813
35-39 years,1.9671048915894924,2.2473171731835024
40-44 years,2.3819422166754824,1.5092035969814717
45-49 years,1.9717260638709637,1.5537165066913001
5-9 years,5.951409928153605,4.622209420386008
50-54 years,1.6601575263958903,1.5996220198836377
55-59 years,1.3568149097293971,1.2746443945106842
60-64 years,1.5100121420467567,1.331114558713663
65-69 years,1.442187174947768,1.7385085529768831
70-74 years,1.9892340876822467,0.7560618169844004
75-79 years,1.4671147738895864,1.8036607493665104
80-84 years,0.9255093668654781,1.6078211043205115
< 1 year,26065.729118430376,22612.73941771057
