Gender,Year,yrs_lost
Female,2000,6.176225911582975
Female,2001,4.919935239637527
Female,2002,4.320935260575798
Female,2003,8.101463052004789
Female,2004,6.080381103965958
Female,2005,4.157706757182828
Female,2006,4.323492738139632
Female,2007,7.885230507935397
Female,2008,5.124046485642414
Female,2009,7.764579503208649
Female,2010,3.49003484602131
Female,2011,3.2584024288176083
Female,2012,5.186598688191508
Female,2013,3.4125897115129247
Female,2014,3.6202009510865922
Female,2015,3.212643445437366
Female,2016,4.289593986629219
Female,2017,3.5724948565182184
Female,2018,3.9983886653721057
Female,2019,4.553507209025179
Female,2020,3.6538972687554083
Female,2021,5.229395170573898
Female,2022,5.044858768692644
Male,2000,8.156748995482152
Male,2001,5.088402171388545
Male,2002,5.42453167127757
Male,2003,6.127272287241731
Male,2004,4.876207687656931
Male,2005,4.313862299150633
Male,2006,5.452041303614187
Male,2007,4.355722930324078
Male,2008,4.057176961086021
Male,2009,4.949520475193639
Male,2010,4.500244647130467
Male,2011,4.333528165634685
Male,2012,3.6967024310304573
Male,2013,5.130234638071371
Male,2014,3.598043590257179
Male,2015,5.145744462383482
Male,2016,4.626693970338802
Male,2017,3.687457136233582
Male,2018,5.421716467902397
Male,2019,5.26390270294719
Male,2020,4.49463267957536
Male,2021,4.614202687213775
Male,2022,4.777680800382848
