mrr,excess_aamr,Year
1.257270923415146,4.612693797638897,2000
1.2448317539636178,4.503384501358699,2001
1.2245462395933242,4.287895431154798,2002
1.216352475548672,4.283574143735699,2003
1.1996693155410976,3.9385951317876966,2004
1.2101389121867467,4.3223647701322,2005
1.2207507613386483,4.513558723693798,2006
1.1983846167351906,4.153637554074901,2007
1.1985448739551021,4.3325627538063,2008
1.221433764911051,4.6319584850227,2009
1.2165887745757322,4.6526431834498005,2010
1.2111367287736396,4.5701424032579006,2011
1.217292854989979,4.6532700751248015,2012
1.2286723492386165,4.973118495173601,2013
1.2015210231036453,4.652580777511698,2014
1.189559747413543,4.8095747819999985,2015
1.182477429554103,4.7963378968056,2016
1.171562438477949,4.719568631983698,2017
1.186101356376996,5.160884221991498,2018
1.1840205671682495,5.202928595336402,2019
1.153438675825434,4.818613396167599,2020
1.1221253180501076,3.8642993397103993,2021
1.1295852759381078,4.155439521211498,2022
