Year,ageadjrate_male,ageadjrate_female
2000,22.5420180151122,17.9293242174733
2001,22.897177089341,18.3937925879823
2002,23.3837192531017,19.0958238219469
2003,24.0826272069027,19.799053063167
2004,23.6641855216492,19.7255903898615
2005,24.8914479787242,20.569083208592
2006,24.9599603411707,20.4464016174769
2007,25.0909341168386,20.9372965627637
2008,26.1541422662849,21.8215795124786
2009,25.5499900547941,20.9180315697714
2010,26.1341035802949,21.4814603968451
2011,26.2155587635614,21.6454163603035
2012,26.0680104509158,21.414740375791
2013,26.7209096545858,21.7477911594122
2014,27.7399029132216,23.0873221357099
2015,30.1819169992928,25.3723422172928
2016,31.0808921483961,26.2845542515905
2017,32.2289038562572,27.5093352242735
2018,32.8924619088129,27.7315776868214
2019,33.476554067751,28.2736254724146
2020,36.2227777650631,31.4041643688955
2021,35.5063814354548,31.6420820957444
2022,36.2226592815507,32.0672197603392
