age_cat,male_years_lost,female_years_lost
1-4 years,5.669425232327975,4.567166996895807
10-14 years,4.3895806732169085,8.174946156558065
15-19 years,8.364904590857455,17.317618827840487
20-24 years,14.712980230093242,36.47303870050821
25-29 years,16.333545216484413,45.523825885154004
30-34 years,22.20001285863854,52.964151443380196
35-39 years,28.235521013685158,63.5476715761378
40-44 years,37.840723631415834,76.47957501966908
45-49 years,50.77736863183897,94.09094200588686
5-9 years,3.5270034798869894,4.000340273777362
50-54 years,66.31833225606428,110.85669497228847
55-59 years,85.24813990732622,135.16609308772954
60-64 years,106.88863132065941,167.5917153754632
65-69 years,130.87501508769193,202.59119548938338
70-74 years,159.25376567443138,249.5865459921004
75-79 years,193.35310884628592,300.7962669246581
80-84 years,227.1623093087327,359.02759407633187
< 1 year,22.751126178632433,22.047977788748767
