Year,ageadjrate_male,ageadjrate_female
2000,2.68119164864073,4.30883201085758
2001,2.6571428031119,4.3172393580345
2002,2.65343152257418,4.28637121358484
2003,2.69709565549806,4.27917800658382
2004,2.58471350199808,4.18885145731386
2005,2.58913239195787,4.11142854904317
2006,2.46419146454875,4.01080062936054
2007,2.46195440035956,3.8475123239074
2008,2.43689317223115,3.75020796668782
2009,2.30820220421792,3.55568021285238
2010,2.32251935794357,3.46519971170251
2011,2.35374062554378,3.43169293389906
2012,2.35049703791153,3.38231413331645
2013,2.27824065935236,3.29258645723444
2014,2.29130787317892,3.15944886553196
2015,2.3109757895837,3.14325942763806
2016,2.36583985083447,3.16308730859277
2017,2.38019281741989,2.98287666368476
2018,2.33005787950029,2.93563746016939
2019,2.4945931528387,2.99519898291524
2020,2.61767322763543,3.08865163921854
2021,2.79538461981878,3.19685971020408
2022,2.84651716472268,3.08805043875216
