Gender,Year,yrs_lost
Female,2000,132.45226306754827
Female,2001,134.87206600799922
Female,2002,133.93446941138507
Female,2003,135.3635893301705
Female,2004,134.02441920805535
Female,2005,127.79513929427272
Female,2006,126.04168044657479
Female,2007,121.65288306977988
Female,2008,119.30647746258441
Female,2009,114.72643520408752
Female,2010,111.67131545045655
Female,2011,110.09633519903981
Female,2012,109.65724211534652
Female,2013,106.54673794179904
Female,2014,102.49645679672993
Female,2015,101.17631703859699
Female,2016,102.85241347376048
Female,2017,96.75685038110578
Female,2018,101.1741439387049
Female,2019,97.75526647919128
Female,2020,97.13886953472
Female,2021,99.99427759407476
Female,2022,97.68969163803709
Male,2000,69.73521196732416
Male,2001,69.4494816108461
Male,2002,69.74416122276747
Male,2003,71.95357682253744
Male,2004,70.46750342974053
Male,2005,68.5692175278615
Male,2006,66.58330242364012
Male,2007,67.07637756185626
Male,2008,66.67027727149383
Male,2009,64.48269879796392
Male,2010,64.43231824860517
Male,2011,65.77769070018789
Male,2012,69.85400743036749
Male,2013,64.12345414846324
Male,2014,64.87072572468924
Male,2015,65.1433749707577
Male,2016,67.42158968047092
Male,2017,67.14727657209733
Male,2018,66.07662620240541
Male,2019,70.84144162901403
Male,2020,72.11142981774911
Male,2021,74.22777615739456
Male,2022,77.98418862704298
