Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,307,1999
< 1 year,Female,282,2000
< 1 year,Female,289,2001
< 1 year,Female,248,2002
< 1 year,Female,278,2003
< 1 year,Female,280,2004
< 1 year,Female,275,2005
< 1 year,Female,277,2006
< 1 year,Female,251,2007
< 1 year,Female,242,2008
< 1 year,Female,238,2009
< 1 year,Female,226,2010
< 1 year,Female,238,2011
< 1 year,Female,213,2012
< 1 year,Female,217,2013
< 1 year,Female,240,2014
< 1 year,Female,213,2015
< 1 year,Female,205,2016
< 1 year,Female,177,2017
< 1 year,Female,172,2018
< 1 year,Female,173,2019
< 1 year,Female,128,2020
< 1 year,Male,380,1999
< 1 year,Male,369,2000
< 1 year,Male,407,2001
< 1 year,Male,388,2002
< 1 year,Male,421,2003
< 1 year,Male,366,2004
< 1 year,Male,394,2005
< 1 year,Male,415,2006
< 1 year,Male,389,2007
< 1 year,Male,336,2008
< 1 year,Male,357,2009
< 1 year,Male,348,2010
< 1 year,Male,352,2011
< 1 year,Male,284,2012
< 1 year,Male,304,2013
< 1 year,Male,277,2014
< 1 year,Male,324,2015
< 1 year,Male,333,2016
< 1 year,Male,262,2017
< 1 year,Male,239,2018
< 1 year,Male,254,2019
< 1 year,Male,180,2020
1-4 years,Female,143,1999
1-4 years,Female,127,2000
1-4 years,Female,133,2001
1-4 years,Female,115,2002
1-4 years,Female,142,2003
1-4 years,Female,147,2004
1-4 years,Female,126,2005
1-4 years,Female,126,2006
1-4 years,Female,127,2007
1-4 years,Female,153,2008
1-4 years,Female,172,2009
1-4 years,Female,122,2010
1-4 years,Female,123,2011
1-4 years,Female,111,2012
1-4 years,Female,131,2013
1-4 years,Female,134,2014
1-4 years,Female,98,2015
1-4 years,Female,117,2016
1-4 years,Female,116,2017
1-4 years,Female,118,2018
1-4 years,Female,122,2019
1-4 years,Female,98,2020
1-4 years,Male,172,1999
1-4 years,Male,136,2000
1-4 years,Male,148,2001
1-4 years,Male,175,2002
1-4 years,Male,200,2003
1-4 years,Male,150,2004
1-4 years,Male,159,2005
1-4 years,Male,163,2006
1-4 years,Male,164,2007
1-4 years,Male,176,2008
1-4 years,Male,164,2009
1-4 years,Male,160,2010
1-4 years,Male,162,2011
1-4 years,Male,153,2012
1-4 years,Male,166,2013
1-4 years,Male,168,2014
1-4 years,Male,144,2015
1-4 years,Male,160,2016
