mrr,excess_aamr,Year
1.2285804937431597,5.477515751962297,2000
1.243437802666988,5.8212429493109,2001
1.2574830083799051,6.206407336109098,2002
1.303818858683249,7.167657514361899,2003
1.3195605687752547,7.277414415720699,2004
1.3265284797809576,7.533068666952801,2005
1.352275613288752,7.6852918379491975,2006
1.371343407084251,7.831709790373903,2007
1.36738967930616,7.592532689321203,2008
1.4034330471295198,7.9658275903437,2009
1.4224908755924328,8.1699359264199,2010
1.415964777168324,8.417982064263303,2011
1.442442830920893,8.7126654708293,2012
1.450444051905201,8.9803806315993,2013
1.4708434485619828,9.4452087570859,2014
1.4785199323714444,9.8289914551797,2015
1.4902194244906688,10.0385267640191,2016
1.5185643361282806,10.8201434017871,2017
1.5373742802751382,11.290902594663699,2018
1.5631290518337562,12.053349514720004,2019
1.5509109252090598,13.673155098327502,2020
1.5180917935891225,13.6000267224581,2021
1.5207358856524615,13.3226660947612,2022
