Year,Excess YPLL Rate,Excess YPLL Number
2000,37.85822963854207,51062.25185267481
2001,42.768705689225044,58413.78691910698
2002,56.82438604984554,78372.57680455282
2003,87.7545627063306,122029.26505598499
2004,94.98310229846368,133353.1136395675
2005,106.48115444394057,150889.67680122372
2006,115.8441723442595,165730.2131536045
2007,130.40199733750774,188236.32898071109
2008,126.05334938268584,183681.52593521506
2009,140.29225090126022,206268.45434620458
2010,148.8220975416458,220223.0274091831
2011,156.64955259801013,233960.93787733026
2012,169.41254022809903,254985.0098838332
2013,175.18145119780286,265562.98023303493
2014,189.01522692514595,288833.71651792317
2015,200.29453399610804,308493.37086318474
2016,205.14249778997123,317609.00431120384
2017,225.2635247119664,351666.3221241663
2018,238.92804548413596,374721.5600984886
2019,258.73961585132827,407115.70889911044
2020,288.39897553448986,455478.2153391159
2021,253.573069667073,406698.99235894537
2022,264.5123705284876,426174.023061941
