Gender,Year,yrs_lost
Female,2000,721.0355808742694
Female,2001,731.3969806958993
Female,2002,737.941410124863
Female,2003,729.6632696669577
Female,2004,718.3158422365632
Female,2005,701.6491665666448
Female,2006,674.9538793581373
Female,2007,652.2426807865415
Female,2008,645.5796439778672
Female,2009,628.9350835425057
Female,2010,615.4431357317402
Female,2011,643.9162242427715
Female,2012,628.1018267277923
Female,2013,636.1888384488951
Female,2014,644.3914042510146
Female,2015,654.9728321061626
Female,2016,659.2156137053798
Female,2017,669.068867569167
Female,2018,675.7708316576991
Female,2019,691.3150303700146
Female,2020,773.5250355570679
Female,2021,811.4699420506122
Female,2022,806.880093429526
Male,2000,758.8938105128115
Male,2001,774.1656863851243
Male,2002,794.7657961747085
Male,2003,817.4178323732883
Male,2004,813.2989445350269
Male,2005,808.1303210105854
Male,2006,790.7980517023968
Male,2007,782.6446781240493
Male,2008,771.6329933605531
Male,2009,769.2273344437659
Male,2010,764.265233273386
Male,2011,800.5657768407816
Male,2012,797.5143669558913
Male,2013,811.370289646698
Male,2014,833.4066311761605
Male,2015,855.2673661022707
Male,2016,864.3581114953511
Male,2017,894.3323922811334
Male,2018,914.698877141835
Male,2019,950.0546462213429
Male,2020,1061.9240110915578
Male,2021,1065.0430117176852
Male,2022,1071.3924639580136
