Five-Year Age Groups,Gender,Deaths,Year
< 1 year,Female,2598,1999
< 1 year,Female,2715,2000
< 1 year,Female,2559,2001
< 1 year,Female,2681,2002
< 1 year,Female,2601,2003
< 1 year,Female,2724,2004
< 1 year,Female,2587,2005
< 1 year,Female,2721,2006
< 1 year,Female,2719,2007
< 1 year,Female,2671,2008
< 1 year,Female,2553,2009
< 1 year,Female,2489,2010
< 1 year,Female,2383,2011
< 1 year,Female,2382,2012
< 1 year,Female,2196,2013
< 1 year,Female,2302,2014
< 1 year,Female,2274,2015
< 1 year,Female,2274,2016
< 1 year,Female,2193,2017
< 1 year,Female,2117,2018
< 1 year,Female,2053,2019
< 1 year,Female,1903,2020
< 1 year,Male,2875,1999
< 1 year,Male,3028,2000
< 1 year,Male,2954,2001
< 1 year,Male,2942,2002
< 1 year,Male,3020,2003
< 1 year,Male,2898,2004
< 1 year,Male,2965,2005
< 1 year,Male,3098,2006
< 1 year,Male,3066,2007
< 1 year,Male,2967,2008
< 1 year,Male,2766,2009
< 1 year,Male,2618,2010
< 1 year,Male,2630,2011
< 1 year,Male,2557,2012
< 1 year,Male,2562,2013
< 1 year,Male,2444,2014
< 1 year,Male,2551,2015
< 1 year,Male,2542,2016
< 1 year,Male,2387,2017
< 1 year,Male,2356,2018
< 1 year,Male,2248,2019
< 1 year,Male,2140,2020
1-4 years,Female,239,1999
1-4 years,Female,236,2000
1-4 years,Female,275,2001
1-4 years,Female,248,2002
1-4 years,Female,266,2003
1-4 years,Female,251,2004
1-4 years,Female,258,2005
1-4 years,Female,271,2006
1-4 years,Female,260,2007
1-4 years,Female,248,2008
1-4 years,Female,234,2009
1-4 years,Female,276,2010
1-4 years,Female,227,2011
1-4 years,Female,226,2012
1-4 years,Female,244,2013
1-4 years,Female,180,2014
1-4 years,Female,208,2015
1-4 years,Female,227,2016
1-4 years,Female,199,2017
1-4 years,Female,174,2018
1-4 years,Female,207,2019
1-4 years,Female,185,2020
1-4 years,Male,310,1999
1-4 years,Male,259,2000
1-4 years,Male,282,2001
1-4 years,Male,282,2002
1-4 years,Male,275,2003
1-4 years,Male,318,2004
1-4 years,Male,264,2005
1-4 years,Male,244,2006
1-4 years,Male,286,2007
1-4 years,Male,273,2008
1-4 years,Male,230,2009
1-4 years,Male,231,2010
1-4 years,Male,266,2011
1-4 years,Male,275,2012
1-4 years,Male,232,2013
1-4 years,Male,219,2014
1-4 years,Male,227,2015
1-4 years,Male,206,2016
1-4 years,Male,225,2017
1-4 years,Male,210,2018
1-4 years,Male,209,2019
1-4 years,Male,197,2020
5-9 years,Female,105,1999
5-9 years,Female,93,2000
5-9 years,Female,81,2001
5-9 years,Female,100,2002
5-9 years,Female,86,2003
5-9 years,Female,94,2004
5-9 years,Female,110,2005
5-9 years,Female,92,2006
5-9 years,Female,99,2007
5-9 years,Female,77,2008
5-9 years,Female,88,2009
5-9 years,Female,82,2010
5-9 years,Female,73,2011
5-9 years,Female,84,2012
5-9 years,Female,82,2013
5-9 years,Female,103,2014
5-9 years,Female,76,2015
5-9 years,Female,104,2016
5-9 years,Female,84,2017
5-9 years,Female,107,2018
5-9 years,Female,86,2019
5-9 years,Female,83,2020
5-9 years,Male,102,1999
5-9 years,Male,105,2000
5-9 years,Male,101,2001
5-9 years,Male,99,2002
5-9 years,Male,94,2003
5-9 years,Male,111,2004
5-9 years,Male,86,2005
5-9 years,Male,90,2006
5-9 years,Male,97,2007
5-9 years,Male,93,2008
5-9 years,Male,107,2009
5-9 years,Male,81,2010
5-9 years,Male,109,2011
5-9 years,Male,83,2012
5-9 years,Male,97,2013
5-9 years,Male,89,2014
5-9 years,Male,105,2015
5-9 years,Male,99,2016
5-9 years,Male,104,2017
5-9 years,Male,94,2018
5-9 years,Male,106,2019
5-9 years,Male,88,2020
10-14 years,Female,108,1999
10-14 years,Female,99,2000
10-14 years,Female,85,2001
10-14 years,Female,102,2002
10-14 years,Female,102,2003
10-14 years,Female,84,2004
10-14 years,Female,91,2005
10-14 years,Female,71,2006
10-14 years,Female,81,2007
10-14 years,Female,80,2008
10-14 years,Female,70,2009
10-14 years,Female,68,2010
10-14 years,Female,87,2011
10-14 years,Female,73,2012
10-14 years,Female,82,2013
10-14 years,Female,60,2014
10-14 years,Female,67,2015
10-14 years,Female,58,2016
10-14 years,Female,87,2017
10-14 years,Female,83,2018
10-14 years,Female,83,2019
10-14 years,Female,69,2020
10-14 years,Male,113,1999
10-14 years,Male,102,2000
10-14 years,Male,109,2001
10-14 years,Male,116,2002
10-14 years,Male,104,2003
10-14 years,Male,100,2004
10-14 years,Male,109,2005
10-14 years,Male,91,2006
10-14 years,Male,97,2007
10-14 years,Male,81,2008
10-14 years,Male,99,2009
10-14 years,Male,67,2010
10-14 years,Male,89,2011
10-14 years,Male,87,2012
10-14 years,Male,79,2013
10-14 years,Male,96,2014
10-14 years,Male,89,2015
10-14 years,Male,88,2016
10-14 years,Male,104,2017
10-14 years,Male,89,2018
10-14 years,Male,106,2019
10-14 years,Male,81,2020
15-19 years,Female,83,1999
15-19 years,Female,88,2000
15-19 years,Female,94,2001
15-19 years,Female,102,2002
15-19 years,Female,79,2003
15-19 years,Female,112,2004
15-19 years,Female,81,2005
15-19 years,Female,88,2006
15-19 years,Female,78,2007
15-19 years,Female,85,2008
15-19 years,Female,103,2009
15-19 years,Female,75,2010
15-19 years,Female,77,2011
15-19 years,Female,84,2012
15-19 years,Female,70,2013
15-19 years,Female,85,2014
15-19 years,Female,86,2015
15-19 years,Female,71,2016
15-19 years,Female,77,2017
15-19 years,Female,64,2018
15-19 years,Female,76,2019
15-19 years,Female,85,2020
15-19 years,Male,139,1999
15-19 years,Male,137,2000
15-19 years,Male,161,2001
15-19 years,Male,146,2002
15-19 years,Male,144,2003
15-19 years,Male,145,2004
15-19 years,Male,172,2005
15-19 years,Male,140,2006
15-19 years,Male,113,2007
15-19 years,Male,145,2008
15-19 years,Male,127,2009
15-19 years,Male,127,2010
15-19 years,Male,130,2011
15-19 years,Male,117,2012
15-19 years,Male,96,2013
15-19 years,Male,94,2014
15-19 years,Male,109,2015
15-19 years,Male,126,2016
15-19 years,Male,91,2017
15-19 years,Male,108,2018
15-19 years,Male,112,2019
15-19 years,Male,99,2020
20-24 years,Female,89,1999
20-24 years,Female,85,2000
20-24 years,Female,105,2001
20-24 years,Female,108,2002
20-24 years,Female,100,2003
20-24 years,Female,89,2004
20-24 years,Female,97,2005
20-24 years,Female,93,2006
20-24 years,Female,83,2007
20-24 years,Female,97,2008
20-24 years,Female,91,2009
20-24 years,Female,86,2010
20-24 years,Female,80,2011
20-24 years,Female,89,2012
20-24 years,Female,69,2013
20-24 years,Female,81,2014
20-24 years,Female,80,2015
20-24 years,Female,86,2016
20-24 years,Female,70,2017
20-24 years,Female,69,2018
20-24 years,Female,93,2019
20-24 years,Female,89,2020
20-24 years,Male,123,1999
20-24 years,Male,131,2000
20-24 years,Male,145,2001
20-24 years,Male,136,2002
20-24 years,Male,128,2003
20-24 years,Male,137,2004
20-24 years,Male,154,2005
20-24 years,Male,139,2006
20-24 years,Male,128,2007
20-24 years,Male,140,2008
20-24 years,Male,136,2009
20-24 years,Male,124,2010
20-24 years,Male,145,2011
20-24 years,Male,133,2012
20-24 years,Male,127,2013
20-24 years,Male,117,2014
20-24 years,Male,111,2015
20-24 years,Male,105,2016
20-24 years,Male,117,2017
20-24 years,Male,113,2018
20-24 years,Male,109,2019
20-24 years,Male,111,2020
25-29 years,Female,102,1999
25-29 years,Female,88,2000
25-29 years,Female,104,2001
25-29 years,Female,81,2002
25-29 years,Female,79,2003
25-29 years,Female,88,2004
25-29 years,Female,100,2005
25-29 years,Female,89,2006
25-29 years,Female,92,2007
25-29 years,Female,92,2008
25-29 years,Female,99,2009
25-29 years,Female,82,2010
25-29 years,Female,79,2011
25-29 years,Female,72,2012
25-29 years,Female,92,2013
25-29 years,Female,82,2014
25-29 years,Female,82,2015
25-29 years,Female,107,2016
25-29 years,Female,84,2017
25-29 years,Female,96,2018
25-29 years,Female,73,2019
25-29 years,Female,79,2020
25-29 years,Male,110,1999
25-29 years,Male,120,2000
25-29 years,Male,121,2001
25-29 years,Male,132,2002
25-29 years,Male,119,2003
25-29 years,Male,122,2004
25-29 years,Male,132,2005
25-29 years,Male,146,2006
25-29 years,Male,134,2007
25-29 years,Male,102,2008
25-29 years,Male,128,2009
25-29 years,Male,126,2010
25-29 years,Male,114,2011
25-29 years,Male,129,2012
25-29 years,Male,94,2013
25-29 years,Male,140,2014
25-29 years,Male,129,2015
25-29 years,Male,128,2016
25-29 years,Male,133,2017
25-29 years,Male,119,2018
25-29 years,Male,104,2019
25-29 years,Male,138,2020
30-34 years,Female,121,1999
30-34 years,Female,110,2000
30-34 years,Female,105,2001
30-34 years,Female,110,2002
30-34 years,Female,114,2003
30-34 years,Female,97,2004
30-34 years,Female,92,2005
30-34 years,Female,85,2006
30-34 years,Female,82,2007
30-34 years,Female,78,2008
30-34 years,Female,72,2009
30-34 years,Female,82,2010
30-34 years,Female,102,2011
30-34 years,Female,85,2012
30-34 years,Female,91,2013
30-34 years,Female,92,2014
30-34 years,Female,99,2015
30-34 years,Female,84,2016
30-34 years,Female,77,2017
30-34 years,Female,110,2018
30-34 years,Female,100,2019
30-34 years,Female,104,2020
30-34 years,Male,132,1999
30-34 years,Male,159,2000
30-34 years,Male,128,2001
30-34 years,Male,152,2002
30-34 years,Male,114,2003
30-34 years,Male,113,2004
30-34 years,Male,112,2005
30-34 years,Male,117,2006
30-34 years,Male,109,2007
30-34 years,Male,107,2008
30-34 years,Male,110,2009
30-34 years,Male,107,2010
30-34 years,Male,115,2011
30-34 years,Male,115,2012
30-34 years,Male,146,2013
30-34 years,Male,114,2014
30-34 years,Male,133,2015
30-34 years,Male,117,2016
30-34 years,Male,143,2017
30-34 years,Male,130,2018
30-34 years,Male,119,2019
30-34 years,Male,129,2020
35-39 years,Female,127,1999
35-39 years,Female,123,2000
35-39 years,Female,122,2001
35-39 years,Female,132,2002
35-39 years,Female,113,2003
35-39 years,Female,80,2004
35-39 years,Female,104,2005
35-39 years,Female,95,2006
35-39 years,Female,114,2007
35-39 years,Female,94,2008
35-39 years,Female,92,2009
35-39 years,Female,98,2010
35-39 years,Female,85,2011
35-39 years,Female,84,2012
35-39 years,Female,84,2013
35-39 years,Female,75,2014
35-39 years,Female,97,2015
35-39 years,Female,102,2016
35-39 years,Female,106,2017
35-39 years,Female,96,2018
35-39 years,Female,116,2019
35-39 years,Female,108,2020
35-39 years,Male,152,1999
35-39 years,Male,154,2000
35-39 years,Male,137,2001
35-39 years,Male,132,2002
35-39 years,Male,129,2003
35-39 years,Male,128,2004
35-39 years,Male,129,2005
35-39 years,Male,135,2006
35-39 years,Male,119,2007
35-39 years,Male,119,2008
35-39 years,Male,127,2009
35-39 years,Male,120,2010
35-39 years,Male,114,2011
35-39 years,Male,100,2012
35-39 years,Male,121,2013
35-39 years,Male,113,2014
35-39 years,Male,123,2015
35-39 years,Male,96,2016
35-39 years,Male,111,2017
35-39 years,Male,117,2018
35-39 years,Male,110,2019
35-39 years,Male,132,2020
40-44 years,Female,129,1999
40-44 years,Female,130,2000
40-44 years,Female,147,2001
40-44 years,Female,144,2002
40-44 years,Female,147,2003
40-44 years,Female,134,2004
40-44 years,Female,141,2005
40-44 years,Female,108,2006
40-44 years,Female,142,2007
40-44 years,Female,101,2008
40-44 years,Female,93,2009
40-44 years,Female,100,2010
40-44 years,Female,90,2011
40-44 years,Female,90,2012
40-44 years,Female,106,2013
40-44 years,Female,116,2014
40-44 years,Female,121,2015
40-44 years,Female,115,2016
40-44 years,Female,84,2017
40-44 years,Female,105,2018
40-44 years,Female,88,2019
40-44 years,Female,111,2020
40-44 years,Male,144,1999
40-44 years,Male,162,2000
40-44 years,Male,180,2001
40-44 years,Male,164,2002
40-44 years,Male,175,2003
40-44 years,Male,151,2004
40-44 years,Male,143,2005
40-44 years,Male,130,2006
40-44 years,Male,138,2007
40-44 years,Male,136,2008
40-44 years,Male,150,2009
40-44 years,Male,131,2010
40-44 years,Male,130,2011
40-44 years,Male,122,2012
40-44 years,Male,130,2013
40-44 years,Male,105,2014
40-44 years,Male,142,2015
40-44 years,Male,108,2016
40-44 years,Male,118,2017
40-44 years,Male,110,2018
40-44 years,Male,120,2019
40-44 years,Male,143,2020
45-49 years,Female,157,1999
45-49 years,Female,130,2000
45-49 years,Female,147,2001
45-49 years,Female,151,2002
45-49 years,Female,147,2003
45-49 years,Female,145,2004
45-49 years,Female,157,2005
45-49 years,Female,154,2006
45-49 years,Female,136,2007
45-49 years,Female,152,2008
45-49 years,Female,137,2009
45-49 years,Female,143,2010
45-49 years,Female,142,2011
45-49 years,Female,121,2012
45-49 years,Female,149,2013
45-49 years,Female,162,2014
45-49 years,Female,138,2015
45-49 years,Female,148,2016
45-49 years,Female,143,2017
45-49 years,Female,153,2018
45-49 years,Female,133,2019
45-49 years,Female,133,2020
