mrr,excess_aamr,Year
1.5837878354646031,3.6940924803840396,2000
1.5233137461213397,3.60692726121866,2001
1.5070275738560726,3.7356853808290404,2002
1.4649140587601834,3.68689224091744,2003
1.4692369250329107,3.7695919485731295,2004
1.4108811076456573,3.738020809247299,2005
1.3522740211156965,4.025879239391299,2006
1.2588162933069422,2.8104134188220993,2007
1.2148383397589968,2.6436384080924995,2008
1.1964348583219235,2.4250050793056985,2009
1.2031246383184473,2.7422339494756987,2010
1.1640554916666566,2.450064385081001,2011
1.1308485632602785,2.104719031028697,2012
1.1360996813843853,2.2476582005407018,2013
1.1602067911554115,2.5020588358261993,2014
1.2055015107354912,2.8266156889571015,2015
1.2550144540718597,3.3798054126670998,2016
1.2546814095587318,3.398197253778699,2017
1.2523942533862507,3.338295892609601,2018
1.2667001171258239,3.479355434236,2019
1.3012484321684654,4.393390390395002,2020
1.3309909724201612,4.699451382065499,2021
1.338961697320582,4.741339261122802,2022
