age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,-1.6105460678386252,0.6710900942302045,3.2860716368462817,4.896617704684907,-769.164220652775,2000-2005,2
10-14 years,-2.165770469782415,0.7000938141911015,5.055722691290473,7.221493161072888,-1406.8856666867105,2000-2005,4
15-19 years,12.282284917505912,1.6701002920363501,30.611309786576776,18.329024869070864,7883.834720043396,2000-2005,5
20-24 years,43.62851767821436,2.3574312699995845,75.76901616417285,32.140498485958496,27043.44339132045,2000-2005,6
25-29 years,70.40228936968721,2.6554299023056283,112.93038993838735,42.52810056870014,40602.66881375668,2000-2005,7
30-34 years,77.28900312278093,2.210764202683375,141.12389595450486,63.834892831723934,47442.81734849716,2000-2005,8
35-39 years,131.1479033181218,2.3026545113397474,231.82532943261742,100.67742611449562,84817.67171072275,2000-2005,9
40-44 years,198.35944515798292,2.4082732902909547,339.2123936059373,140.85294844795436,134402.921023063,2000-2005,10
45-49 years,248.9529364218742,2.5876793225563715,405.7559714459919,156.80303502411772,157326.52266673095,2000-2005,11
5-9 years,-0.9812223647374965,0.7494678057333485,2.9353296281498613,3.916551992887358,-597.8666366134745,2000-2005,3
50-54 years,264.16494533573467,3.1316650958855976,388.089170508633,123.92422517289832,146997.0458493601,2000-2005,12
55-59 years,203.15808268476854,2.7348845512876836,320.2598705437811,117.10178785901257,91089.12407993745,2000-2005,13
60-64 years,173.42015720363992,2.336857025575366,303.1424490313708,129.72229182773088,59140.357651143364,2000-2005,14
65-69 years,124.81759677289281,1.6988454980073333,303.4230211890104,178.6054244161176,34189.87634150693,2000-2005,15
70-74 years,61.65814069100867,1.1738991613958696,416.22075155172524,354.5626108607166,14377.040152345062,2000-2005,16
75-79 years,-65.58820175088488,0.9159919293083965,715.1487109162489,780.7369126671338,-12238.608905615129,2000-2005,17
80-84 years,-319.1345556625863,0.8052561897571158,1319.6058760079352,1638.7404316705215,-38550.28948291226,2000-2005,18
< 1 year,11.03763990235857,1.7018113738672935,26.764999579555386,15.727359677196816,1116.6829958595727,2000-2005,1
1-4 years,-0.6134601284405434,0.8971895078626898,5.353441845155953,5.966901973596497,-303.0041527841753,2006-2012,2
10-14 years,-1.3005438430014955,0.7516134779485995,3.935424003645047,5.235967846646543,-966.9058760025833,2006-2012,4
15-19 years,7.559176625582998,1.702603124094051,18.317991049202217,10.758814423619219,5951.06384737466,2006-2012,5
20-24 years,24.438616432466645,1.7597013294314536,56.60733259195534,32.168716159488696,18878.164997396536,2006-2012,6
25-29 years,40.15275246744813,1.8556817963559757,87.07761710573246,46.924864638284326,29621.293006381322,2006-2012,7
30-34 years,55.4194730471548,2.03355966156602,109.03947691145501,53.62000386430021,38561.54324700257,2006-2012,8
35-39 years,66.03944606703593,1.8815139910024792,140.95538244591773,74.91593637888181,46905.21922881842,2006-2012,9
40-44 years,119.24229882968685,2.07700248536042,229.95912673912503,110.71682790943818,88549.78900135297,2006-2012,10
45-49 years,160.49374186465724,2.087249562759834,308.108187859251,147.61444599459378,125033.37342643704,2006-2012,11
5-9 years,0.5219386133175421,1.1417800617039648,4.203264513762864,3.681325900445322,374.6753559674216,2006-2012,3
50-54 years,211.89868921284236,2.3585585078715385,367.8718681264434,155.97317891360106,158652.21657996534,2006-2012,12
