Year,ageadjrate_male,ageadjrate_female
2000,2.5367453774008,2.45561622393535
2001,2.53542177931012,2.46684147432077
2002,2.55133891993817,2.43602670211739
2003,2.52986158924729,2.30787774340836
2004,2.47069128232637,2.2483198584498
2005,2.46228304779697,2.2935828953951
2006,2.22763086973055,2.17914352226431
2007,2.41239727386554,2.24620572374949
2008,2.37388298431918,2.24186816440063
2009,2.30777315995563,2.14449475921408
2010,2.25987344390838,2.10566271170493
2011,2.37499753977133,2.1749996094618
2012,2.37086364741383,2.21441307021796
2013,2.31365874775599,2.09483662589425
2014,2.37434596947132,2.199296142961
2015,2.36396850512604,2.1216997085263
2016,2.31595987461857,2.17870346843767
2017,2.2901905754081,2.11159186104119
2018,2.27903708837231,2.07101251260427
2019,2.27052326896237,2.00176564749399
2020,2.39793824541182,2.09722398735531
2021,2.41397813691528,2.26413898863031
2022,2.45480043585339,2.25928031316528
