Gender,Year,yrs_lost
Female,2000,77.9364536361875
Female,2001,77.97265780587907
Female,2002,78.0358978713684
Female,2003,74.61902521374262
Female,2004,74.02523940135973
Female,2005,72.62626422554871
Female,2006,69.70655336490411
Female,2007,72.01828887291737
Female,2008,72.7085698896672
Female,2009,70.74288381266852
Female,2010,68.99870509843002
Female,2011,71.1652956129826
Female,2012,72.77593572261021
Female,2013,68.35235300247537
Female,2014,72.35349829080647
Female,2015,70.00696729620122
Female,2016,72.400792705239
Female,2017,69.82246244769627
Female,2018,68.39707766223516
Female,2019,66.2371061685238
Female,2020,66.43673492248666
Female,2021,71.61238350819065
Female,2022,72.84478800219436
Male,2000,69.31956953236092
Male,2001,70.13270448016067
Male,2002,70.98809714166082
Male,2003,70.34161929037408
Male,2004,70.66579253795099
Male,2005,68.10853366913865
Male,2006,63.11551447334561
Male,2007,67.99598062690018
Male,2008,68.4588306538198
Male,2009,67.09439889491895
Male,2010,65.91548413370911
Male,2011,69.19858545729659
Male,2012,68.77758845204606
Male,2013,67.16779344999229
Male,2014,69.27144702238095
Male,2015,68.78293277467023
Male,2016,67.90931314188296
Male,2017,66.9206367080275
Male,2018,66.81437100449615
Male,2019,66.82941644688094
Male,2020,68.26887044758332
Male,2021,66.11591032824089
Male,2022,70.09917800451868
