Gender,Year,yrs_lost
Female,2000,64.1637729710774
Female,2001,67.12374513988753
Female,2002,67.28684927097291
Female,2003,65.6930953075014
Female,2004,63.54169901215241
Female,2005,62.97792739094785
Female,2006,59.15664212464675
Female,2007,59.848397238095316
Female,2008,57.73446360392408
Female,2009,56.069422915989264
Female,2010,57.90335026739056
Female,2011,55.74587784355561
Female,2012,54.39550630722791
Female,2013,57.60403646037483
Female,2014,54.91838227138464
Female,2015,56.603275320077046
Female,2016,60.660104634319964
Female,2017,56.8165769712914
Female,2018,56.70555189984992
Female,2019,58.93008205373606
Female,2020,57.83374001465384
Female,2021,59.383374059567025
Female,2022,65.43891777700068
Male,2000,67.30480392593888
Male,2001,68.79408925044348
Male,2002,69.77078722858407
Male,2003,65.75884870784252
Male,2004,69.18163054019831
Male,2005,65.1360158060158
Male,2006,63.70581772072256
Male,2007,62.936052852753974
Male,2008,62.035304113670605
Male,2009,60.965465778419
Male,2010,57.9357024123794
Male,2011,61.7259878158155
Male,2012,62.17140081950654
Male,2013,59.28515838987999
Male,2014,59.475827839254315
Male,2015,62.90411988468513
Male,2016,60.320424231329916
Male,2017,62.6822381903735
Male,2018,60.51616552201804
Male,2019,61.86513335847585
Male,2020,59.798082415431516
Male,2021,60.53004061425596
Male,2022,68.58489805048086
