Year,Excess YPLL Rate,Excess YPLL Number
2000,3.1410309548614777,4236.545533838149
2001,1.670344110555945,2281.367261020056
2002,2.483937957611161,3425.8639977185276
2003,0.06575340034112287,91.43500772046279
2004,5.639931528045906,7918.276112055884
2005,2.158088415067958,3058.130475374461
2006,4.549175596075806,6508.189630552264
2007,3.087655614658658,4457.055642757803
2008,4.3008405097465285,6267.068281033233
2009,4.896042862429738,7198.538673079893
2010,0.03235214498884176,47.87385361659628
2011,5.980109972259889,8931.47867016169
2012,7.775894512278626,11703.59960602344
2013,1.68112192950516,2548.464730038152
2014,4.557445567869678,6964.2216799667485
2015,6.300844564608084,9704.55229226921
2016,-0.339680402990048,-525.9054351973081
2017,5.8656612190821065,9157.077295929306
2018,3.8106136221681197,5976.356097242672
2019,2.935051304739794,4618.17757846171
2020,1.9643424007776744,3102.3521126002397
2021,1.1466665546889345,1839.107492668609
2022,3.145980273480177,5068.704601390871
