mrr,excess_aamr,Year
1.4738700438148258,22.8664929969342,2000
1.4421948567378668,21.0215502892368,2001
1.4371196037297038,20.738260333609006,2002
1.4092533505315765,19.459312538471004,2003
1.4099004049385107,18.630758199373695,2004
1.3886765700075117,18.336098913709897,2005
1.381679864081509,16.941383489886498,2006
1.3850763157801131,16.757175166295305,2007
1.3481372925929915,16.285474551076504,2008
1.3203211343725025,14.705338461944905,2009
1.3438431594481066,15.147139685608003,2010
1.3168071059316289,14.289910938414302,2011
1.3069305681501686,13.4481533105876,2012
1.2996315768859743,13.601784042646798,2013
1.2955776953715075,13.182020963319296,2014
1.278027269290461,12.590355521238799,2015
1.2815509413523796,12.496418530636497,2016
1.258554382861008,11.658858019083901,2017
1.2816446534099397,12.477096483988902,2018
1.2736425768622166,11.522385885456195,2019
1.318942839649592,13.177747461305998,2020
1.3011255888105067,11.743206950037099,2021
1.2641792606219766,10.6018846521685,2022
