age_cat,male_years_lost,female_years_lost
1-4 years,145.17428917092906,130.16550099560666
10-14 years,56.64204166176553,51.94879591184783
15-19 years,66.90768274758425,54.40338440255762
20-24 years,103.44514854314306,80.25830609768862
25-29 years,121.97878028382311,103.42583677556381
30-34 years,150.37088765505666,136.33611176931157
35-39 years,193.22635815886798,187.4923069302585
40-44 years,287.58160470955914,292.66446309204304
45-49 years,459.28110985329397,467.1079764428588
5-9 years,60.02802784870988,51.94052839426522
50-54 years,783.7784436097377,769.5645350866795
55-59 years,1312.4478554422203,1233.809686085627
60-64 years,2114.7716811986147,1906.326845894435
65-69 years,3160.7001225773406,2791.0928140322353
70-74 years,4547.196994176643,3964.665546401876
75-79 years,6002.625748946219,5103.33904773638
80-84 years,7382.635445010903,6056.16350072962
< 1 year,1210.1756923690173,941.6399423169028
