Year,Infections,Neoplasms,Blood-related,Endocrine and Metabolic,Mental Health,Neurological,Eye and Adnexa,Ear and Mastoid,Circulatory,Respiratory,Digestive,"Skin and Subcutaneous
Tissue","MSK and Connective
Tissue",Genitourinary,Perinatal,Congentinal,External causes,Overall
2000,9.3978603967947,65.426198631354,0.08112915346545035,5.477515751962297,3.69409248038404,4.612693797638897,0.0079152119676414,0.0255466242971345,115.195782330819,22.8664929969342,10.5517442112183,-0.06956935505248607,-1.6276403622168505,3.1638028039426,1.1260102538887606,0.38572590510217,46.994058781604295,291.10378199384195
2001,9.1135322253094,63.34857790817301,0.06858030498935008,5.8212429493109,3.60692726121866,4.503384501358699,-0.02004408056498466,-0.0178076470301041,107.851027870615,21.0215502892368,10.1509703280696,-0.02405745850346397,-1.6600965549225997,3.0037535709723997,1.08156462067606,0.4199216004248898,47.835334664482104,280.59293931565395
2002,9.2964073262311,61.393266633443005,0.11531221782077994,6.206407336109098,3.73568538082904,4.287895431154798,0.01225940913312089,0.0073192943437956,105.071691534164,20.73826033360901,10.220497355849002,-0.01337223203281101,-1.6329396910106606,3.230522054442801,1.0964666264644896,0.3351193608691201,48.720572354406805,275.704741417994
2003,8.6801985025704,58.88893821000602,0.22198384583892983,7.167657514361899,3.68689224091744,4.283574143735699,0.02102136142189984,0.00439007954438859,101.728702119482,19.459312538471004,10.276931577434,-0.10083758591249305,-1.5820823510857598,3.3293002812098997,1.1884610603206802,0.3739598915017299,48.5449747586742,268.849867843758
2004,8.270528871381998,56.743485585576,0.22237142387656972,7.277414415720699,3.7695919485731295,3.9385951317876966,0.0036003501479712,-0.0140888643986463,94.645088942799,18.630758199373695,9.5861487558399,-0.106438231859856,-1.6041379553157804,3.1677773147804995,1.156280305507,0.3126035860305003,47.8347995658858,255.9450094879979
2005,8.191461919775799,56.01268726208099,0.16870015240187008,7.533068666952801,3.738020809247299,4.3223647701322,-0.00274584929059399,0.00877205077700479,91.565723601225,18.336098913709897,9.728308231718898,-0.01440524107026797,-1.5222961570853002,3.1617937808034,1.0575496832028095,0.39266299641385993,49.987694428930496,254.84702983248195
2006,7.642008825618301,53.183833366588,0.04848734746623995,7.685291837949197,4.025879239391299,4.513558723693798,0.00898658099997469,0.0064273322003469,88.32911029525698,16.941383489886498,9.3029061738952,-0.01049240762432102,-1.54660916481179,3.2108583924986007,0.99665794200581,0.49117125701040987,50.6761572801113,247.332925438492
2007,7.1207697805501,52.20475100682302,0.16619155011605002,7.831709790373903,2.8104134188220993,4.153637554074901,8.044565527874983e-4,-0.0198918022164975,84.745030927681,16.757175166295305,9.6961019735378,0.04865737814162807,-1.38555792354784,2.9787030972099995,1.02821920491854,0.3614487261227297,50.5109439901789,240.58223507296097
2008,6.5667450274175,51.944577097701,0.1320148199185498,7.592532689321203,2.6436384080924995,4.3325627538063,-0.01586931677296089,-0.00753050255569409,81.82565734658301,16.285474551076504,9.6758740426067,0.00167097341904898,-1.31331479445667,3.256194383586699,1.10172721447596,0.3688848956950599,49.5860636093183,235.965118576646
2009,6.472952576364898,49.890486954918,0.1632784007415502,7.9658275903437,2.4250050793056985,4.6319584850227,0.0053953119585957,0.0146869450984014,80.28612076485699,14.705338461944905,9.2809697700799,0.01662632400117503,-1.24747800863446,3.0069259775369996,0.9985956584017996,0.36001268157254973,46.7751632353048,227.78711713741905
2010,6.046648411457198,49.262315778920026,0.15421073220345027,8.1699359264199,2.7422339494756987,4.6526431834498005,0.0176999666083197,-6.86657542761801e-4,78.94726063084401,15.147139685608003,9.6085092673619,0.09200199106032192,-1.1426803537589398,3.3072564492603007,0.86733287308873,0.20097321991477024,46.1609882621594,225.64635184677695
2011,5.6818438397354,47.356903513096995,0.1999979303095301,8.417982064263303,2.450064385081001,4.5701424032579006,-0.00148278460742419,0.01667487849999889,76.85206157520498,14.289910938414302,9.2870270669839,0.02403807169778205,-1.0779523083552798,2.8084766050597008,0.7354846114501603,0.34014367142953983,46.973828319129,220.052513436222
2012,5.530223688485201,45.969053810478,0.1564505771958702,8.7126654708293,2.104719031028697,4.6532700751248015,8.932573616677979e-4,-0.0047378555388608,75.71944947865701,13.4481533105876,9.493001720641502,0.05583051006777095,-1.0318170954049195,2.9227371623807006,0.85474507572901,0.36162482202448,47.0064872810035,217.269443670969
2013,5.5728983069633,44.233336561754015,0.2188221218617397,8.9803806315993,2.2476582005407018,4.973118495173601,0.0100748074311636,0.0049267465041296,77.366189865147,13.601784042646798,9.660599650237,0.05592867661442402,-1.01434579788208,2.6757508038464,0.7688987628696502,0.3851832392460297,46.6771882799289,217.61781919239905
2014,5.1789825432976,43.08459664083999,0.1750498265103202,9.4452087570859,2.5020588358261993,4.652580777511698,0.01264848702694882,0.01110217207256659,76.58344456370001,13.182020963319296,9.3801552553266,0.04157967728022305,-0.8681409923530401,2.796027044865699,0.8964513463519497,0.25915306055454,47.705704926872095,216.302411306873
2015,5.372098831472801,42.051513241516986,0.2422687965997401,9.8289914551797,2.8266156889571015,4.8095747819999985,0.0174933335049501,0.0226650734854381,75.921874497481,12.5903555212388,9.2599986964131,0.06217977123821194,-0.8322836380543599,3.0715549907188997,0.7144469060748397,0.41987400467923974,51.44536339802819,219.13666132658
2016,4.929180802447,39.743112968934014,0.13725640618089985,10.0385267640191,3.3798054126671,4.7963378968056,0.001311780184494,-0.00514465038545639,76.45904451407701,12.496418530636497,9.246771778874898,0.03905311132202405,-0.7972474577583002,2.9742399355339,0.74449815160611,0.2647327684568501,57.00352595692,222.93643846359004
