mrr,excess_aamr,Year
1.2788607720388812,3.1638028039426,2000
1.25656204745441,3.0037535709723997,2001
1.277405899971912,3.230522054442801,2002
1.2815143918901064,3.3293002812098997,2003
1.269969078964274,3.1677773147804995,2004
1.2653525293137626,3.1617937808034,2005
1.2712362892133604,3.2108583924986007,2006
1.2492027242483212,2.9787030972099995,2007
1.2852108977374772,3.256194383586699,2008
1.2634217875827471,3.0069259775369996,2009
1.2907997349126736,3.3072564492603007,2010
1.2701364775657382,2.8084766050597008,2011
1.2840013261479344,2.9227371623807006,2012
1.2536227932792279,2.6757508038464,2013
1.263127559129788,2.796027044865699,2014
1.2806955204651564,3.0715549907188997,2015
1.2695930118430405,2.9742399355339,2016
1.2807039027139948,3.073918789670701,2017
1.3087746030238565,3.360300760215699,2018
1.2970707319497807,3.2100650013102,2019
1.3051958181876793,3.4246291216672002,2020
1.273683761175794,3.265457559236399,2021
1.2621600830719077,3.1123943525618003,2022
