Five-Year Age Groups,Gender,Deaths,Year
15-19 years,Male,15,1999
15-19 years,Male,23,2000
15-19 years,Male,17,2001
15-19 years,Male,14,2002
15-19 years,Male,23,2003
15-19 years,Male,16,2004
15-19 years,Male,20,2005
15-19 years,Male,16,2006
15-19 years,Male,13,2007
15-19 years,Male,11,2008
15-19 years,Male,9,2009
15-19 years,Male,12,2010
15-19 years,Male,12,2011
15-19 years,Male,8,2012
15-19 years,Male,2,2013
15-19 years,Male,2,2014
15-19 years,Male,12,2015
15-19 years,Male,10,2016
15-19 years,Male,12,2017
15-19 years,Male,7,2018
15-19 years,Male,14,2019
15-19 years,Male,12,2020
20-24 years,Female,33,1999
20-24 years,Female,43,2000
20-24 years,Female,48,2001
20-24 years,Female,42,2002
20-24 years,Female,46,2003
20-24 years,Female,35,2004
20-24 years,Female,46,2005
20-24 years,Female,42,2006
20-24 years,Female,44,2007
20-24 years,Female,45,2008
20-24 years,Female,51,2009
20-24 years,Female,42,2010
20-24 years,Female,41,2011
20-24 years,Female,34,2012
20-24 years,Female,25,2013
20-24 years,Female,37,2014
20-24 years,Female,35,2015
20-24 years,Female,38,2016
20-24 years,Female,30,2017
20-24 years,Female,35,2018
20-24 years,Female,32,2019
20-24 years,Female,42,2020
20-24 years,Male,26,1999
20-24 years,Male,30,2000
20-24 years,Male,40,2001
20-24 years,Male,38,2002
20-24 years,Male,46,2003
20-24 years,Male,46,2004
20-24 years,Male,39,2005
20-24 years,Male,46,2006
20-24 years,Male,46,2007
20-24 years,Male,40,2008
20-24 years,Male,46,2009
20-24 years,Male,25,2010
20-24 years,Male,45,2011
20-24 years,Male,30,2012
20-24 years,Male,31,2013
20-24 years,Male,41,2014
20-24 years,Male,22,2015
20-24 years,Male,24,2016
20-24 years,Male,26,2017
20-24 years,Male,34,2018
20-24 years,Male,31,2019
20-24 years,Male,33,2020
25-29 years,Female,76,1999
25-29 years,Female,52,2000
25-29 years,Female,55,2001
25-29 years,Female,81,2002
25-29 years,Female,69,2003
25-29 years,Female,66,2004
25-29 years,Female,78,2005
25-29 years,Female,62,2006
25-29 years,Female,69,2007
25-29 years,Female,72,2008
25-29 years,Female,68,2009
25-29 years,Female,70,2010
25-29 years,Female,49,2011
25-29 years,Female,55,2012
25-29 years,Female,54,2013
25-29 years,Female,51,2014
25-29 years,Female,56,2015
25-29 years,Female,60,2016
25-29 years,Female,65,2017
25-29 years,Female,63,2018
25-29 years,Female,66,2019
25-29 years,Female,76,2020
25-29 years,Male,56,1999
25-29 years,Male,53,2000
25-29 years,Male,57,2001
25-29 years,Male,54,2002
25-29 years,Male,61,2003
25-29 years,Male,57,2004
25-29 years,Male,67,2005
25-29 years,Male,52,2006
25-29 years,Male,65,2007
25-29 years,Male,66,2008
25-29 years,Male,67,2009
25-29 years,Male,46,2010
25-29 years,Male,66,2011
25-29 years,Male,62,2012
25-29 years,Male,58,2013
25-29 years,Male,61,2014
25-29 years,Male,53,2015
25-29 years,Male,77,2016
25-29 years,Male,76,2017
25-29 years,Male,67,2018
25-29 years,Male,68,2019
25-29 years,Male,85,2020
30-34 years,Female,93,1999
30-34 years,Female,102,2000
30-34 years,Female,102,2001
30-34 years,Female,102,2002
30-34 years,Female,112,2003
30-34 years,Female,114,2004
30-34 years,Female,99,2005
30-34 years,Female,93,2006
30-34 years,Female,98,2007
30-34 years,Female,83,2008
30-34 years,Female,100,2009
30-34 years,Female,108,2010
30-34 years,Female,87,2011
30-34 years,Female,98,2012
30-34 years,Female,113,2013
30-34 years,Female,101,2014
30-34 years,Female,102,2015
30-34 years,Female,101,2016
30-34 years,Female,103,2017
30-34 years,Female,105,2018
30-34 years,Female,126,2019
30-34 years,Female,124,2020
30-34 years,Male,96,1999
30-34 years,Male,101,2000
30-34 years,Male,89,2001
30-34 years,Male,103,2002
30-34 years,Male,119,2003
30-34 years,Male,81,2004
30-34 years,Male,116,2005
30-34 years,Male,124,2006
30-34 years,Male,101,2007
30-34 years,Male,101,2008
30-34 years,Male,104,2009
30-34 years,Male,88,2010
30-34 years,Male,87,2011
30-34 years,Male,92,2012
30-34 years,Male,107,2013
30-34 years,Male,97,2014
30-34 years,Male,122,2015
30-34 years,Male,110,2016
30-34 years,Male,109,2017
30-34 years,Male,117,2018
