Gender,Year,yrs_lost
Female,2000,2.1149252371612786
Female,2001,2.7274749503965947
Female,2002,2.5807795269065883
Female,2003,1.693650137123586
Female,2004,2.811484900060374
Female,2005,2.885628815190312
Female,2006,2.115679505107619
Female,2007,2.457533276304136
Female,2008,2.293578036038891
Female,2009,2.304164756545879
Female,2010,2.5010921495876888
Female,2011,2.0004908240196198
Female,2012,2.280910131554278
Female,2013,1.4005333967051696
Female,2014,1.7067505738871225
Female,2015,1.966764082094236
Female,2016,1.6636843470461473
Female,2017,1.9896792134775423
Female,2018,2.2304189999976813
Female,2019,1.6590566418807409
Female,2020,1.4771228298443344
Female,2021,2.234996839844405
Female,2022,1.559588812779989
Male,2000,2.2704180519983606
Male,2001,1.5705702054722115
Male,2002,2.1641336987869075
Male,2003,1.8369076006814804
Male,2004,1.6067364577384056
Male,2005,2.2155146494875755
Male,2006,1.7652608836274075
Male,2007,1.5638128176023005
Male,2008,1.9959060236187571
Male,2009,2.122816411411543
Male,2010,1.7754361934808724
Male,2011,2.372030685364504
Male,2012,2.650613255082919
Male,2013,1.8971826381855597
Male,2014,1.9207547943050935
Male,2015,2.0829847710683302
Male,2016,1.7266733408147352
Male,2017,1.1823327198465057
Male,2018,1.4564055919152432
Male,2019,2.187767886815537
Male,2020,1.7750859028922317
Male,2021,1.9191322558928963
Male,2022,1.7372975707677338
