age_cat,male_years_lost,female_years_lost
1-4 years,5.021730875395681,5.272923429591948
10-14 years,2.2948494037541964,4.2158864268995275
15-19 years,3.355549024895765,2.1354652496993234
20-24 years,2.2795784609014786,1.962975732250105
25-29 years,2.6327559752015484,2.782005540583326
30-34 years,2.1659618234835616,3.0623104427479477
35-39 years,2.1266139290815325,2.151881603723783
40-44 years,1.688078432311523,2.2186435983224984
45-49 years,1.4834903221078335,1.9844551170645246
5-9 years,0.6861273165553665,3.956979593194026
50-54 years,1.0859977592565095,1.6930087790945623
55-59 years,1.1754626114272084,1.7234523740257226
60-64 years,1.4735821404019116,1.4052456526805939
65-69 years,1.1368247813466918,1.39698787424945
70-74 years,1.6865605016707679,1.6653099007923313
75-79 years,1.7272542038194403,1.639400863289929
80-84 years,1.761057860247943,1.5350205692316308
< 1 year,15.973119707403772,22.87894782666559
