Year,Excess YPLL Rate,Excess YPLL Number
2000,0.155492814837082,161.76743816319686
2001,-1.1569047449243832,-881.7267604585247
2002,-0.41664582811968076,-444.94433776932044
2003,0.14325746355789448,123.18569758573842
2004,-1.2047484423219683,-942.3142580309274
2005,-0.6701141657027363,-737.1375237074428
2006,-0.3504186214802114,-355.357446060657
2007,-0.8937204587018357,-820.8836444587564
2008,-0.29767201242013397,-274.4002585801781
2009,-0.18134834513433606,-167.09603723851941
2010,-0.7256559561068163,-547.2141232582537
2011,0.37153986134488415,393.6473041979984
2012,0.369703123528641,311.17175089080524
2013,0.49664924148039,509.3634471628108
2014,0.21400422041797107,205.83833939707694
2015,0.11622068897409421,141.96427587923128
2016,0.06298899376858791,56.13898793799931
2017,-0.8073464936310366,-756.6492109308003
2018,-0.7740134080824381,-662.0633595937082
2019,0.5287112449347962,516.6287654676747
2020,0.29796307304789726,349.1039799886268
2021,-0.3158645839515086,-372.35167721810063
2022,0.17770875798774477,208.80606508356007
