mrr,excess_aamr,Year,shortname
1.7173733888215312,9.3978603967947,2000,Infections
1.6802660016185085,9.1135322253094,2001,Infections
1.6602850219655505,9.2964073262311,2002,Infections
1.6120071997014302,8.6801985025704,2003,Infections
1.588308132286256,8.270528871381998,2004,Infections
1.581743260683088,8.191461919775799,2005,Infections
1.5395757247184307,7.642008825618301,2006,Infections
1.5100547469844314,7.1207697805501,2007,Infections
1.464766456545943,6.5667450274175,2008,Infections
1.4601362472714985,6.472952576364898,2009,Infections
1.4530088156003955,6.046648411457198,2010,Infections
1.4283975009449703,5.6818438397354,2011,Infections
1.4260597829688355,5.530223688485201,2012,Infections
1.4252291989484334,5.5728983069633,2013,Infections
1.3972342044661432,5.1789825432976,2014,Infections
1.417814310964423,5.372098831472801,2015,Infections
1.3933651658189832,4.929180802447,2016,Infections
1.3678856265205963,4.464500909720298,2017,Infections
1.375073906676324,4.381691759103001,2018,Infections
1.38974639209619,4.2711062025733,2019,Infections
1.3918290485525833,4.5023334284353,2020,Infections
1.3742343423031476,4.4004129846958016,2021,Infections
1.36280440656131,4.253713942579299,2022,Infections
1.4361211600380566,65.426198631354,2000,Neoplasms
1.429217449803321,63.34857790817301,2001,Neoplasms
1.4204876340699917,61.393266633443005,2002,Neoplasms
1.4095836010007592,58.88893821000602,2003,Neoplasms
1.4028764993594889,56.743485585576,2004,Neoplasms
1.4023162156670408,56.01268726208099,2005,Neoplasms
1.3863493805908915,53.183833366588,2006,Neoplasms
1.3859881425915617,52.20475100682302,2007,Neoplasms
1.3922043179771555,51.944577097701,2008,Neoplasms
1.3819473345708475,49.890486954918,2009,Neoplasms
1.3802700312776426,49.262315778920026,2010,Neoplasms
1.3729499352120913,47.356903513096995,2011,Neoplasms
1.3663975872883891,45.969053810478,2012,Neoplasms
1.359169902432903,44.233336561754015,2013,Neoplasms
1.353728842635462,43.08459664083999,2014,Neoplasms
1.351422325202496,42.051513241516986,2015,Neoplasms
1.3367613497892317,39.743112968934014,2016,Neoplasms
1.3334665165543176,38.419579323538,2017,Neoplasms
1.326730048475238,36.834875868991986,2018,Neoplasms
1.3287885522291565,36.155590088508006,2019,Neoplasms
1.3205922475191207,34.91218421248999,2020,Neoplasms
1.2948647132535611,32.336273234979984,2021,Neoplasms
1.2858710399301885,30.932263476358003,2022,Neoplasms
1.0330382055121925,0.08112915346545035,2000,Blood-related
1.0278008561568526,0.06858030498935008,2001,Blood-related
1.0473361879492331,0.11531221782077994,2002,Blood-related
1.0961852708502209,0.22198384583892983,2003,Blood-related
1.098905599681841,0.22237142387656972,2004,Blood-related
1.073553108867604,0.16870015240187008,2005,Blood-related
1.022250644333815,0.04848734746623995,2006,Blood-related
1.073987679916795,0.16619155011605002,2007,Blood-related
1.058886076360268,0.1320148199185498,2008,Blood-related
1.0761384004507375,0.1632784007415502,2009,Blood-related
1.073236198440627,0.15421073220345027,2010,Blood-related
1.091953087917574,0.1999979303095301,2011,Blood-related
1.0706510358433132,0.1564505771958702,2012,Blood-related
1.1044578460949566,0.2188221218617397,2013,Blood-related
1.0795935677287387,0.1750498265103202,2014,Blood-related
1.114186185550271,0.2422687965997401,2015,Blood-related
1.0629991222620696,0.13725640618089985,2016,Blood-related
1.084580130119864,0.17859871436690966,2017,Blood-related
1.1004458324138524,0.2080245757680399,2018,Blood-related
1.1342602825684602,0.2687576214683798,2019,Blood-related
1.1433868103119131,0.3007142580565101,2020,Blood-related
1.0661793065873644,0.14983914828497014,2021,Blood-related
1.0865408871793265,0.19552012268811003,2022,Blood-related
1.2285804937431597,5.477515751962297,2000,Endocrine and Metabolic
1.243437802666988,5.8212429493109,2001,Endocrine and Metabolic
1.2574830083799051,6.206407336109098,2002,Endocrine and Metabolic
1.303818858683249,7.167657514361899,2003,Endocrine and Metabolic
1.3195605687752547,7.277414415720699,2004,Endocrine and Metabolic
1.3265284797809576,7.533068666952801,2005,Endocrine and Metabolic
1.352275613288752,7.685291837949197,2006,Endocrine and Metabolic
1.371343407084251,7.831709790373903,2007,Endocrine and Metabolic
1.36738967930616,7.592532689321203,2008,Endocrine and Metabolic
1.4034330471295198,7.9658275903437,2009,Endocrine and Metabolic
1.4224908755924328,8.1699359264199,2010,Endocrine and Metabolic
1.415964777168324,8.417982064263303,2011,Endocrine and Metabolic
1.442442830920893,8.7126654708293,2012,Endocrine and Metabolic
1.450444051905201,8.9803806315993,2013,Endocrine and Metabolic
1.4708434485619828,9.4452087570859,2014,Endocrine and Metabolic
1.4785199323714444,9.8289914551797,2015,Endocrine and Metabolic
1.4902194244906688,10.0385267640191,2016,Endocrine and Metabolic
1.5185643361282806,10.8201434017871,2017,Endocrine and Metabolic
1.5373742802751382,11.2909025946637,2018,Endocrine and Metabolic
1.5631290518337562,12.053349514720004,2019,Endocrine and Metabolic
1.5509109252090598,13.673155098327502,2020,Endocrine and Metabolic
1.5180917935891225,13.6000267224581,2021,Endocrine and Metabolic
1.5207358856524615,13.3226660947612,2022,Endocrine and Metabolic
1.5837878354646031,3.69409248038404,2000,Mental Health
1.5233137461213395,3.60692726121866,2001,Mental Health
1.5070275738560726,3.73568538082904,2002,Mental Health
1.4649140587601834,3.68689224091744,2003,Mental Health
1.4692369250329107,3.7695919485731295,2004,Mental Health
1.410881107645657,3.738020809247299,2005,Mental Health
1.3522740211156965,4.025879239391299,2006,Mental Health
1.2588162933069422,2.8104134188220993,2007,Mental Health
1.2148383397589968,2.6436384080924995,2008,Mental Health
1.1964348583219235,2.4250050793056985,2009,Mental Health
