gender,year,age_group,pop,total,ratio,pct
Male,2000,1-4,7861716,15370150,0.9550629913367514,51.15
Male,2000,10-14,10520197,20528072,0.9513011020611116,51.25
Male,2000,15-19,10391004,20219890,0.945903398747609,51.39
Male,2000,20-24,9687814,18964001,0.9575108481645085,51.09
Male,2000,25-29,9798760,19381336,0.9779376165963857,50.56
Male,2000,30-34,10321769,20510388,0.9871000794534348,50.32
Male,2000,35-39,11318696,22706664,1.0061201396344597,49.85
Male,2000,40-44,11129102,22441863,1.0165025893373967,49.59
Male,2000,45-49,9889506,20092404,1.0316893482849396,49.22
Male,2000,5-9,10523277,20549505,0.9527667094575197,51.21
Male,2000,50-54,8607724,17585548,1.042996267073619,48.95
Male,2000,55-59,6508729,13469237,1.0694112475722988,48.32
Male,2000,60-64,5136627,10805447,1.1036074840551982,47.54
Male,2000,65-69,4400362,9533545,1.1665365258585543,46.16
Male,2000,70-74,3902912,8857441,1.2694441996130068,44.06
Male,2000,75-79,3044456,7415813,1.4358417398707684,41.05
Male,2000,80-84,1834897,4945367,1.6951741705392729,37.1
Male,2000,< 1,1949017,3805648,0.9525986689700501,51.21
Male,2001,1-4,7817023,15285559,0.9554194736282597,51.14
Male,2001,10-14,10747209,20978678,0.9520117269516206,51.23
Male,2001,15-19,10547387,20456284,0.9394646275897528,51.56
Male,2001,20-24,10080336,19757286,0.9599828815229968,51.02
Male,2001,25-29,9516234,18819347,0.9776044809322679,50.57
Male,2001,30-34,10388245,20652175,0.9880331085760877,50.3
Male,2001,35-39,11094408,22235918,1.0042455622688475,49.89
Male,2001,40-44,11314915,22815834,1.016438833168433,49.59
Male,2001,45-49,10193034,20698983,1.030698906723945,49.24
Male,2001,5-9,10329064,20173362,0.9530677707099113,51.2
Male,2001,50-54,9146153,18687285,1.0431852605133547,48.94
Male,2001,55-59,6759579,13968975,1.0665451206354715,48.39
Male,2001,60-64,5302150,11136320,1.1003404279396094,47.61
Male,2001,65-69,4427615,9562233,1.1596803245087932,46.3
Male,2001,70-74,3913438,8821946,1.2542700305971373,44.36
Male,2001,75-79,3077254,7455413,1.422748658381791,41.28
Male,2001,80-84,1926631,5138205,1.6669377789519633,37.5
Male,2001,< 1,2049753,4012658,0.9576300168849613,51.08
Male,2002,1-4,7913020,15477731,0.955982797970939,51.13
Male,2002,10-14,10889999,21261421,0.9523804363985708,51.22
Male,2002,15-19,10628491,20610370,0.9391623890917347,51.57
Male,2002,20-24,10327520,20243765,0.9601767897810898,51.02
Male,2002,25-29,9442754,18691340,0.9794373548225443,50.52
Male,2002,30-34,10388113,20658306,0.9886485639884741,50.29
Male,2002,35-39,10847772,21751218,1.0051322981345847,49.87
Male,2002,40-44,11353422,22889431,1.0160821116311893,49.6
Male,2002,45-49,10466497,21252288,1.0305062906911453,49.25
Male,2002,5-9,10172682,19872417,0.9535081308940946,51.19
Male,2002,50-54,9168094,18739906,1.0440351069698892,48.92
Male,2002,55-59,7341077,15143067,1.0627854741204867,48.48
Male,2002,60-64,5508597,11560265,1.098586082808381,47.65
Male,2002,65-69,4474667,9638481,1.1540107900766694,46.43
Male,2002,70-74,3897210,8750054,1.2452097782772804,44.54
Male,2002,75-79,3101769,7470461,1.4084517576905309,41.52
Male,2002,80-84,1998991,5294403,1.6485376872632242,37.76
Male,2002,< 1,2018522,3951461,0.9576011556970893,51.08
Male,2003,1-4,7979882,15616575,0.956993223709323,51.1
Male,2003,10-14,10970478,21415353,0.9520893255517217,51.23
Male,2003,15-19,10710599,20797166,0.9417369654115517,51.5
Male,2003,20-24,10497965,20591688,0.9614932989393659,50.98
Male,2003,25-29,9464481,18771585,0.9833718298974873,50.42
Male,2003,30-34,10278392,20472210,0.991771670121163,50.21
Male,2003,35-39,10604058,21264159,1.0052850521941694,49.87
Male,2003,40-44,11343445,22890047,1.0179096385621829,49.56
Male,2003,45-49,10705411,21722676,1.0291305023226105,49.28
Male,2003,5-9,10039604,19620851,0.9543451116199404,51.17
Male,2003,50-54,9337624,19097278,1.0451967224210357,48.9
Male,2003,55-59,7672601,15814557,1.0611728669326086,48.52
Male,2003,60-64,5816925,12194388,1.096363284725177,47.7
Male,2003,65-69,4577090,9830796,1.1478266759010638,46.56
Male,2003,70-74,3875623,8670119,1.2370903981114778,44.7
Male,2003,75-79,3131860,7497842,1.3940540126314713,41.77
Male,2003,80-84,2051421,5398596,1.6316372894691047,38
Male,2003,< 1,2033237,3975871,0.9554390363740184,51.14
Male,2004,1-4,8058452,15771627,0.9571534334385811,51.09
Male,2004,10-14,10967974,21411680,0.9522001055071794,51.22
Male,2004,15-19,10859759,21102552,0.943187873690383,51.46
Male,2004,20-24,10654919,20845560,0.9564259474896055,51.11
Male,2004,25-29,9627975,19107055,0.9845351696488618,50.39
Male,2004,30-34,10118356,20159501,0.992369214919894,50.19
Male,2004,35-39,10421329,20874649,1.0030697620236344,49.92
Male,2004,40-44,11363212,22925626,1.0175304306564024,49.57
Male,2004,45-49,10880756,22065262,1.027916258759961,49.31
Male,2004,5-9,9951006,19454237,0.9550020369799798,51.15
Male,2004,50-54,9565045,19564668,1.045433973389566,48.89
Male,2004,55-59,8059227,16607176,1.0606412997177024,48.53
Male,2004,60-64,6060330,12698128,1.095286560302822,47.73
Male,2004,65-69,4703011,10073429,1.1419105760118358,46.69
Male,2004,70-74,3854159,8594104,1.229826013924179,44.85
Male,2004,75-79,3140080,7461399,1.3761811800973223,42.08
Male,2004,80-84,2111081,5528504,1.6188024050237768,38.19
Male,2004,< 1,2052042,4014258,0.9562260421570319,51.12
Male,2005,1-4,8127884,15913007,0.9578289995280445,51.08
Male,2005,10-14,10864197,21212579,0.9525215715436677,51.22
Male,2005,15-19,11051425,21486214,0.944203032640587,51.43
Male,2005,20-24,10737149,20959955,0.9520968741329752,51.23
Male,2005,25-29,9822166,19534710,0.9888393252567713,50.28
