age_cat,unadj_excess_deaths_rate,Year,shortname,keep
1-4 years,0.2284925003576628,2000-2005,Infections,TRUE
10-14 years,0.01078190356607966,2000-2005,Infections,TRUE
15-19 years,0.04394979389863796,2000-2005,Infections,TRUE
20-24 years,0.24479323045061663,2000-2005,Infections,TRUE
25-29 years,1.0161351125138935,2000-2005,Infections,TRUE
30-34 years,4.6745881986886015,2000-2005,Infections,TRUE
35-39 years,11.305212514132036,2000-2005,Infections,TRUE
40-44 years,15.189395660824898,2000-2005,Infections,TRUE
45-49 years,20.40897405906852,2000-2005,Infections,TRUE
5-9 years,0.02225934913148053,2000-2005,Infections,TRUE
50-54 years,21.00461037074217,2000-2005,Infections,TRUE
55-59 years,15.990217541820757,2000-2005,Infections,TRUE
60-64 years,11.347747423987975,2000-2005,Infections,TRUE
65-69 years,11.454768026458268,2000-2005,Infections,TRUE
70-74 years,14.477609965815311,2000-2005,Infections,TRUE
75-79 years,22.08956916073012,2000-2005,Infections,TRUE
80-84 years,35.587024613823004,2000-2005,Infections,TRUE
< 1 year,2.0689687857292984,2000-2005,Infections,TRUE
1-4 years,0.10611183983386518,2006-2012,Infections,TRUE
10-14 years,0.03180054375654878,2006-2012,Infections,TRUE
15-19 years,0.00569017439134111,2006-2012,Infections,TRUE
20-24 years,0.3775584248206223,2006-2012,Infections,TRUE
25-29 years,1.088360920001706,2006-2012,Infections,TRUE
30-34 years,1.682317788664219,2006-2012,Infections,TRUE
35-39 years,3.5770318796739646,2006-2012,Infections,TRUE
40-44 years,7.490609024758129,2006-2012,Infections,TRUE
45-49 years,11.647398834755371,2006-2012,Infections,TRUE
5-9 years,0.06844814284840056,2006-2012,Infections,TRUE
50-54 years,16.840978571289824,2006-2012,Infections,TRUE
55-59 years,19.834416565436175,2006-2012,Infections,TRUE
60-64 years,15.370537934602831,2006-2012,Infections,TRUE
65-69 years,11.574666822254729,2006-2012,Infections,TRUE
70-74 years,11.879538541393051,2006-2012,Infections,TRUE
75-79 years,17.225068684609298,2006-2012,Infections,TRUE
80-84 years,27.32146085422255,2006-2012,Infections,TRUE
< 1 year,2.525920789146097,2006-2012,Infections,TRUE
1-4 years,0.0122044886192798,2013-2019,Infections,TRUE
10-14 years,0.04525911701097357,2013-2019,Infections,TRUE
15-19 years,0.07411782726013694,2013-2019,Infections,TRUE
20-24 years,0.3507249137130891,2013-2019,Infections,TRUE
25-29 years,1.146043170250559,2013-2019,Infections,TRUE
30-34 years,1.3564123340000895,2013-2019,Infections,TRUE
35-39 years,1.6961592265096264,2013-2019,Infections,TRUE
40-44 years,2.6478835420541955,2013-2019,Infections,TRUE
45-49 years,5.508353768820415,2013-2019,Infections,TRUE
5-9 years,0.01619144675656148,2013-2019,Infections,TRUE
50-54 years,9.802571597178556,2013-2019,Infections,TRUE
55-59 years,13.719005099662766,2013-2019,Infections,TRUE
60-64 years,17.24846292340531,2013-2019,Infections,TRUE
65-69 years,15.486332812624577,2013-2019,Infections,TRUE
70-74 years,13.28194645128135,2013-2019,Infections,TRUE
75-79 years,16.824659285899145,2013-2019,Infections,TRUE
80-84 years,25.827185334704623,2013-2019,Infections,TRUE
< 1 year,2.38324425174984,2013-2019,Infections,TRUE
1-4 years,0.12865089467687607,2020-2022,Infections,TRUE
10-14 years,0.05551150894916978,2020-2022,Infections,TRUE
15-19 years,0.07373884709228407,2020-2022,Infections,TRUE
20-24 years,0.2237396199432362,2020-2022,Infections,TRUE
25-29 years,0.8707685170785708,2020-2022,Infections,TRUE
30-34 years,2.049400550293521,2020-2022,Infections,TRUE
35-39 years,2.2812674216839444,2020-2022,Infections,TRUE
40-44 years,2.6745594257115046,2020-2022,Infections,TRUE
45-49 years,3.526317251797657,2020-2022,Infections,TRUE
5-9 years,0.09734509855344958,2020-2022,Infections,TRUE
50-54 years,5.4694819511726305,2020-2022,Infections,TRUE
55-59 years,9.327531350063389,2020-2022,Infections,TRUE
60-64 years,12.49529972323791,2020-2022,Infections,TRUE
65-69 years,14.767154570617194,2020-2022,Infections,TRUE
70-74 years,14.714877034043589,2020-2022,Infections,TRUE
75-79 years,20.952934504650074,2020-2022,Infections,TRUE
80-84 years,31.16190978183846,2020-2022,Infections,TRUE
< 1 year,3.057894951152232,2020-2022,Infections,TRUE
1-4 years,0.5054850478567907,2000-2005,Neoplasms,TRUE
10-14 years,0.4365148816481361,2000-2005,Neoplasms,TRUE
15-19 years,1.2775593248157795,2000-2005,Neoplasms,TRUE
20-24 years,1.6569776797034583,2000-2005,Neoplasms,TRUE
25-29 years,0.570929122309412,2000-2005,Neoplasms,TRUE
30-34 years,-2.130688510646536,2000-2005,Neoplasms,TRUE
35-39 years,-6.838254089584996,2000-2005,Neoplasms,TRUE
40-44 years,-9.146181004265046,2000-2005,Neoplasms,TRUE
45-49 years,-1.3009503288332809,2000-2005,Neoplasms,TRUE
5-9 years,0.39462745237798336,2000-2005,Neoplasms,TRUE
50-54 years,20.363445807876246,2000-2005,Neoplasms,TRUE
55-59 years,58.72480263758624,2000-2005,Neoplasms,TRUE
60-64 years,131.09129461459406,2000-2005,Neoplasms,TRUE
65-69 years,243.38031973029055,2000-2005,Neoplasms,TRUE
70-74 years,392.00791304888014,2000-2005,Neoplasms,TRUE
75-79 years,586.2958902649838,2000-2005,Neoplasms,TRUE
80-84 years,820.2571421233085,2000-2005,Neoplasms,TRUE
< 1 year,-0.12365175636167436,2000-2005,Neoplasms,TRUE
1-4 years,0.23572298576566553,2006-2012,Neoplasms,TRUE
10-14 years,0.2273092147455822,2006-2012,Neoplasms,TRUE
15-19 years,1.0517094877060695,2006-2012,Neoplasms,TRUE
20-24 years,1.835698859558447,2006-2012,Neoplasms,TRUE
25-29 years,1.0555788667912198,2006-2012,Neoplasms,TRUE
30-34 years,-1.66717790908662,2006-2012,Neoplasms,TRUE
35-39 years,-5.7629295631387905,2006-2012,Neoplasms,TRUE
40-44 years,-9.918431999371728,2006-2012,Neoplasms,TRUE
45-49 years,-6.262323789867011,2006-2012,Neoplasms,TRUE
5-9 years,0.3237456343750096,2006-2012,Neoplasms,TRUE
50-54 years,17.796584245378,2006-2012,Neoplasms,TRUE
55-59 years,63.14042697797424,2006-2012,Neoplasms,TRUE
60-64 years,115.26613165110876,2006-2012,Neoplasms,TRUE
65-69 years,192.77289305559424,2006-2012,Neoplasms,TRUE
70-74 years,303.59263488349086,2006-2012,Neoplasms,TRUE
75-79 years,475.6090094089776,2006-2012,Neoplasms,TRUE
80-84 years,720.7090201378212,2006-2012,Neoplasms,TRUE
< 1 year,0.3290846448834652,2006-2012,Neoplasms,TRUE
1-4 years,0.33681896861961746,2013-2019,Neoplasms,TRUE
10-14 years,0.3508319388982808,2013-2019,Neoplasms,TRUE
15-19 years,1.048560065764104,2013-2019,Neoplasms,TRUE
20-24 years,1.531574438366873,2013-2019,Neoplasms,TRUE
25-29 years,0.7198338042079788,2013-2019,Neoplasms,TRUE
30-34 years,-1.92962539849084,2013-2019,Neoplasms,TRUE
35-39 years,-5.686003857509181,2013-2019,Neoplasms,TRUE
40-44 years,-9.484056767833192,2013-2019,Neoplasms,TRUE
45-49 years,-9.03294933895058,2013-2019,Neoplasms,TRUE
5-9 years,0.19055032036962105,2013-2019,Neoplasms,TRUE
50-54 years,4.972286124102666,2013-2019,Neoplasms,TRUE
55-59 years,45.82090516505292,2013-2019,Neoplasms,TRUE
60-64 years,108.29431152446114,2013-2019,Neoplasms,TRUE
65-69 years,170.09582017748448,2013-2019,Neoplasms,TRUE
70-74 years,250.22226046109256,2013-2019,Neoplasms,TRUE
75-79 years,375.07100609960094,2013-2019,Neoplasms,TRUE
80-84 years,583.1274092509793,2013-2019,Neoplasms,TRUE
< 1 year,-0.3260701297130062,2013-2019,Neoplasms,TRUE
1-4 years,0.02036378417558682,2020-2022,Neoplasms,TRUE
10-14 years,0.37542458178823024,2020-2022,Neoplasms,TRUE
15-19 years,1.0003482579216,2020-2022,Neoplasms,TRUE
20-24 years,1.4728627318214915,2020-2022,Neoplasms,TRUE
25-29 years,0.5347312577127745,2020-2022,Neoplasms,TRUE
30-34 years,-1.623644219217768,2020-2022,Neoplasms,TRUE
35-39 years,-5.889657216200138,2020-2022,Neoplasms,TRUE
40-44 years,-8.582735888424153,2020-2022,Neoplasms,TRUE
45-49 years,-9.708587676619814,2020-2022,Neoplasms,TRUE
5-9 years,0.2282208425056176,2020-2022,Neoplasms,TRUE
50-54 years,-4.5514370620843465,2020-2022,Neoplasms,TRUE
55-59 years,24.123393281361615,2020-2022,Neoplasms,TRUE
60-64 years,77.1555372472377,2020-2022,Neoplasms,TRUE
65-69 years,148.9576737496273,2020-2022,Neoplasms,TRUE
70-74 years,221.91556183543943,2020-2022,Neoplasms,TRUE
75-79 years,326.44330711791486,2020-2022,Neoplasms,TRUE
80-84 years,509.1055118940331,2020-2022,Neoplasms,TRUE
< 1 year,-0.26169359789684243,2020-2022,Neoplasms,TRUE
1-4 years,0.07495221206807601,2000-2005,Blood-related,FALSE
10-14 years,0.05266763810398708,2000-2005,Blood-related,FALSE
15-19 years,0.03162638364409365,2000-2005,Blood-related,FALSE
20-24 years,0.04039153687077307,2000-2005,Blood-related,FALSE
25-29 years,0.07360213503427426,2000-2005,Blood-related,FALSE
30-34 years,0.1008694620164,2000-2005,Blood-related,FALSE
35-39 years,0.09940911344967174,2000-2005,Blood-related,FALSE
40-44 years,-0.06120563153001845,2000-2005,Blood-related,FALSE
45-49 years,0.093075266763603,2000-2005,Blood-related,FALSE
5-9 years,0.01451143957898917,2000-2005,Blood-related,FALSE
50-54 years,-0.07969402494674283,2000-2005,Blood-related,FALSE
55-59 years,-0.03789794248058742,2000-2005,Blood-related,FALSE
60-64 years,-0.00731035680135505,2000-2005,Blood-related,FALSE
65-69 years,-0.01154803801036141,2000-2005,Blood-related,FALSE
70-74 years,0.804621449130698,2000-2005,Blood-related,FALSE
75-79 years,0.8453713886774032,2000-2005,Blood-related,FALSE
80-84 years,3.3171398165665096,2000-2005,Blood-related,FALSE
< 1 year,0.7625899892717662,2000-2005,Blood-related,FALSE
1-4 years,0.09658027178536473,2006-2012,Blood-related,FALSE
10-14 years,0.03376848650692043,2006-2012,Blood-related,FALSE
15-19 years,0.04853795752375967,2006-2012,Blood-related,FALSE
20-24 years,0.15741468354897747,2006-2012,Blood-related,FALSE
25-29 years,0.13650660276948523,2006-2012,Blood-related,FALSE
30-34 years,0.05779612769040809,2006-2012,Blood-related,FALSE
35-39 years,0.06523262715108824,2006-2012,Blood-related,FALSE
40-44 years,-0.01773795191224936,2006-2012,Blood-related,FALSE
45-49 years,-0.0707553656911768,2006-2012,Blood-related,FALSE
5-9 years,0.02155133645652748,2006-2012,Blood-related,FALSE
50-54 years,0.10786051348403758,2006-2012,Blood-related,FALSE
55-59 years,0.04626249943716987,2006-2012,Blood-related,FALSE
60-64 years,0.09700556343987898,2006-2012,Blood-related,FALSE
65-69 years,0.07491045563269072,2006-2012,Blood-related,FALSE
70-74 years,0.22772979920936365,2006-2012,Blood-related,FALSE
75-79 years,1.3732950280883198,2006-2012,Blood-related,FALSE
80-84 years,2.50160332758443,2006-2012,Blood-related,FALSE
< 1 year,0.47976344529206294,2006-2012,Blood-related,FALSE
1-4 years,0.0242724825586898,2013-2019,Blood-related,FALSE
10-14 years,6.35188893562677e-5,2013-2019,Blood-related,FALSE
15-19 years,0.0334466014044979,2013-2019,Blood-related,FALSE
20-24 years,0.08955860543001715,2013-2019,Blood-related,FALSE
25-29 years,0.07894708809244999,2013-2019,Blood-related,FALSE
30-34 years,0.08362405960189645,2013-2019,Blood-related,FALSE
35-39 years,0.10848775959396116,2013-2019,Blood-related,FALSE
40-44 years,0.01934314481575705,2013-2019,Blood-related,FALSE
45-49 years,0.12104124141693372,2013-2019,Blood-related,FALSE
5-9 years,0.06419483982867791,2013-2019,Blood-related,FALSE
50-54 years,0.19217598852964635,2013-2019,Blood-related,FALSE
55-59 years,0.29307622538629774,2013-2019,Blood-related,FALSE
60-64 years,0.3816045916934998,2013-2019,Blood-related,FALSE
65-69 years,0.4557254644618638,2013-2019,Blood-related,FALSE
70-74 years,0.4179736675558416,2013-2019,Blood-related,FALSE
75-79 years,0.9463438637704852,2013-2019,Blood-related,FALSE
80-84 years,2.933218529758655,2013-2019,Blood-related,FALSE
< 1 year,0.6696571262758273,2013-2019,Blood-related,FALSE
1-4 years,0.08842018678343994,2020-2022,Blood-related,FALSE
10-14 years,0.0214866326645951,2020-2022,Blood-related,FALSE
15-19 years,0.05631095306726763,2020-2022,Blood-related,FALSE
20-24 years,0.05380310707905089,2020-2022,Blood-related,FALSE
25-29 years,0.113351813060747,2020-2022,Blood-related,FALSE
30-34 years,0.1199059985810874,2020-2022,Blood-related,FALSE
35-39 years,0.03931765811628907,2020-2022,Blood-related,FALSE
40-44 years,-0.07224696154578791,2020-2022,Blood-related,FALSE
45-49 years,0.1467599335170382,2020-2022,Blood-related,FALSE
5-9 years,0.01369291601581576,2020-2022,Blood-related,FALSE
50-54 years,-0.05699721909059407,2020-2022,Blood-related,FALSE
55-59 years,0.23316755672945225,2020-2022,Blood-related,FALSE
60-64 years,0.32752059523509036,2020-2022,Blood-related,FALSE
65-69 years,0.5186937796916764,2020-2022,Blood-related,FALSE
70-74 years,0.8525309403209018,2020-2022,Blood-related,FALSE
75-79 years,1.5087556344523243,2020-2022,Blood-related,FALSE
80-84 years,3.829099996212303,2020-2022,Blood-related,FALSE
< 1 year,-0.11995914252235362,2020-2022,Blood-related,FALSE
1-4 years,0.07984164470764998,2000-2005,Endocrine and Metabolic,TRUE
10-14 years,0.12629508822276925,2000-2005,Endocrine and Metabolic,TRUE
15-19 years,0.06893622196034221,2000-2005,Endocrine and Metabolic,TRUE
20-24 years,0.1651948334046196,2000-2005,Endocrine and Metabolic,TRUE
25-29 years,0.4635717262748509,2000-2005,Endocrine and Metabolic,TRUE
30-34 years,1.2079721077534833,2000-2005,Endocrine and Metabolic,TRUE
35-39 years,1.5837396477651504,2000-2005,Endocrine and Metabolic,TRUE
40-44 years,3.703127278764759,2000-2005,Endocrine and Metabolic,TRUE
45-49 years,5.760563531972364,2000-2005,Endocrine and Metabolic,TRUE
5-9 years,0.09621297599456574,2000-2005,Endocrine and Metabolic,TRUE
50-54 years,8.667384879647635,2000-2005,Endocrine and Metabolic,TRUE
55-59 years,13.038205935214693,2000-2005,Endocrine and Metabolic,TRUE
60-64 years,18.665628311102417,2000-2005,Endocrine and Metabolic,TRUE
65-69 years,22.856167721143024,2000-2005,Endocrine and Metabolic,TRUE
70-74 years,29.317493078479306,2000-2005,Endocrine and Metabolic,TRUE
75-79 years,37.60926253617154,2000-2005,Endocrine and Metabolic,TRUE
80-84 years,47.6978612888924,2000-2005,Endocrine and Metabolic,TRUE
< 1 year,1.6216292271177837,2000-2005,Endocrine and Metabolic,TRUE
1-4 years,0.11066466143908348,2006-2012,Endocrine and Metabolic,TRUE
10-14 years,0.05340760989033899,2006-2012,Endocrine and Metabolic,TRUE
15-19 years,0.04998103310306756,2006-2012,Endocrine and Metabolic,TRUE
20-24 years,0.3349859322358355,2006-2012,Endocrine and Metabolic,TRUE
25-29 years,0.5010474476569287,2006-2012,Endocrine and Metabolic,TRUE
30-34 years,1.1309815249990591,2006-2012,Endocrine and Metabolic,TRUE
35-39 years,2.213415275601903,2006-2012,Endocrine and Metabolic,TRUE
40-44 years,3.6625839428145746,2006-2012,Endocrine and Metabolic,TRUE
45-49 years,6.914209030420391,2006-2012,Endocrine and Metabolic,TRUE
5-9 years,0.06202645397897821,2006-2012,Endocrine and Metabolic,TRUE
50-54 years,10.745910408574147,2006-2012,Endocrine and Metabolic,TRUE
55-59 years,16.547790446058563,2006-2012,Endocrine and Metabolic,TRUE
60-64 years,23.363454370706215,2006-2012,Endocrine and Metabolic,TRUE
65-69 years,30.487278618136106,2006-2012,Endocrine and Metabolic,TRUE
70-74 years,36.30796897225777,2006-2012,Endocrine and Metabolic,TRUE
75-79 years,42.769950986973925,2006-2012,Endocrine and Metabolic,TRUE
80-84 years,58.968191332056506,2006-2012,Endocrine and Metabolic,TRUE
< 1 year,1.399801422249344,2006-2012,Endocrine and Metabolic,TRUE
1-4 years,0.09927013720591772,2013-2019,Endocrine and Metabolic,TRUE
10-14 years,0.09165680748346332,2013-2019,Endocrine and Metabolic,TRUE
15-19 years,0.0706999187376528,2013-2019,Endocrine and Metabolic,TRUE
20-24 years,0.248135966857,2013-2019,Endocrine and Metabolic,TRUE
25-29 years,0.8702710623425416,2013-2019,Endocrine and Metabolic,TRUE
30-34 years,1.3648565956419954,2013-2019,Endocrine and Metabolic,TRUE
35-39 years,2.3195301099684595,2013-2019,Endocrine and Metabolic,TRUE
40-44 years,4.566143546378619,2013-2019,Endocrine and Metabolic,TRUE
45-49 years,7.619624192668978,2013-2019,Endocrine and Metabolic,TRUE
5-9 years,0.09619212120966852,2013-2019,Endocrine and Metabolic,TRUE
50-54 years,13.306672783301142,2013-2019,Endocrine and Metabolic,TRUE
55-59 years,20.787734938524483,2013-2019,Endocrine and Metabolic,TRUE
60-64 years,29.918731876119544,2013-2019,Endocrine and Metabolic,TRUE
65-69 years,39.095683026171486,2013-2019,Endocrine and Metabolic,TRUE
70-74 years,48.75851639929968,2013-2019,Endocrine and Metabolic,TRUE
75-79 years,61.45670697718518,2013-2019,Endocrine and Metabolic,TRUE
80-84 years,76.87204999817843,2013-2019,Endocrine and Metabolic,TRUE
< 1 year,0.8275912760130915,2013-2019,Endocrine and Metabolic,TRUE
1-4 years,-0.0943032162945221,2020-2022,Endocrine and Metabolic,TRUE
10-14 years,0.01500332531250936,2020-2022,Endocrine and Metabolic,TRUE
15-19 years,0.1952276432531912,2020-2022,Endocrine and Metabolic,TRUE
20-24 years,0.7640944181243767,2020-2022,Endocrine and Metabolic,TRUE
25-29 years,1.289760209366695,2020-2022,Endocrine and Metabolic,TRUE
30-34 years,2.3955473981264888,2020-2022,Endocrine and Metabolic,TRUE
35-39 years,4.162745839432683,2020-2022,Endocrine and Metabolic,TRUE
40-44 years,6.174601237526117,2020-2022,Endocrine and Metabolic,TRUE
45-49 years,10.567080865624664,2020-2022,Endocrine and Metabolic,TRUE
5-9 years,0.03626487477844409,2020-2022,Endocrine and Metabolic,TRUE
50-54 years,17.409661500778768,2020-2022,Endocrine and Metabolic,TRUE
55-59 years,27.6532053830622,2020-2022,Endocrine and Metabolic,TRUE
60-64 years,37.895952588658574,2020-2022,Endocrine and Metabolic,TRUE
65-69 years,50.153582008422035,2020-2022,Endocrine and Metabolic,TRUE
70-74 years,59.72057962547347,2020-2022,Endocrine and Metabolic,TRUE
75-79 years,76.27518491282552,2020-2022,Endocrine and Metabolic,TRUE
80-84 years,101.4670563661287,2020-2022,Endocrine and Metabolic,TRUE
< 1 year,1.0321042946753702,2020-2022,Endocrine and Metabolic,TRUE
1-4 years,-0.01732872621703374,2000-2005,Mental Health,FALSE
10-14 years,-0.02489269793494805,2000-2005,Mental Health,FALSE
15-19 years,0.22544383393360895,2000-2005,Mental Health,FALSE
20-24 years,0.823096370441148,2000-2005,Mental Health,FALSE
25-29 years,1.4341819196434644,2000-2005,Mental Health,FALSE
30-34 years,1.7702485239917751,2000-2005,Mental Health,FALSE
35-39 years,3.3478380501042486,2000-2005,Mental Health,FALSE
40-44 years,5.665873789931695,2000-2005,Mental Health,FALSE
45-49 years,8.05133788589905,2000-2005,Mental Health,FALSE
5-9 years,-0.01057951988908879,2000-2005,Mental Health,FALSE
50-54 years,9.759270251512673,2000-2005,Mental Health,FALSE
55-59 years,8.98935084924835,2000-2005,Mental Health,FALSE
60-64 years,9.383932933017077,2000-2005,Mental Health,FALSE
65-69 years,9.01409637153434,2000-2005,Mental Health,FALSE
70-74 years,8.80315030561809,2000-2005,Mental Health,FALSE
75-79 years,6.091243319038007,2000-2005,Mental Health,FALSE
80-84 years,-5.65871876013378,2000-2005,Mental Health,FALSE
< 1 year,0.1589804714456691,2000-2005,Mental Health,FALSE
1-4 years,-0.00349354602617106,2006-2012,Mental Health,FALSE
10-14 years,-0.0141122564982629,2006-2012,Mental Health,FALSE
15-19 years,0.13502927892388358,2006-2012,Mental Health,FALSE
20-24 years,0.46955830839350465,2006-2012,Mental Health,FALSE
25-29 years,0.8318326648610835,2006-2012,Mental Health,FALSE
30-34 years,1.2505357410255662,2006-2012,Mental Health,FALSE
35-39 years,1.6951964266270858,2006-2012,Mental Health,FALSE
40-44 years,3.396554208032748,2006-2012,Mental Health,FALSE
45-49 years,5.197870298449267,2006-2012,Mental Health,FALSE
5-9 years,0.01050390695509562,2006-2012,Mental Health,FALSE
50-54 years,7.739981163654357,2006-2012,Mental Health,FALSE
55-59 years,9.4387209843886275,2006-2012,Mental Health,FALSE
60-64 years,9.493411246048408,2006-2012,Mental Health,FALSE
65-69 years,9.590901361429244,2006-2012,Mental Health,FALSE
70-74 years,9.356527703137402,2006-2012,Mental Health,FALSE
