age_cat,unadj_excess_deaths_rate,Year,shortname,keep
75-79 years,4.228534551752858,2006-2012,Mental Health,FALSE
80-84 years,-16.213535564838935,2006-2012,Mental Health,FALSE
< 1 year,0.05455259647196242,2006-2012,Mental Health,FALSE
1-4 years,-0.01334813088461408,2013-2019,Mental Health,FALSE
10-14 years,-0.02214263573262346,2013-2019,Mental Health,FALSE
15-19 years,0.02829974459223652,2013-2019,Mental Health,FALSE
20-24 years,0.27826139330500443,2013-2019,Mental Health,FALSE
25-29 years,0.6295045664914665,2013-2019,Mental Health,FALSE
30-34 years,1.3335579614141118,2013-2019,Mental Health,FALSE
35-39 years,2.543595258008834,2013-2019,Mental Health,FALSE
40-44 years,3.3048080720103137,2013-2019,Mental Health,FALSE
45-49 years,5.2151297295492585,2013-2019,Mental Health,FALSE
5-9 years,-0.00228791225446675,2013-2019,Mental Health,FALSE
50-54 years,7.998799820701728,2013-2019,Mental Health,FALSE
55-59 years,10.987801296329536,2013-2019,Mental Health,FALSE
60-64 years,13.323106968092986,2013-2019,Mental Health,FALSE
65-69 years,12.231395146569774,2013-2019,Mental Health,FALSE
70-74 years,10.515900758266705,2013-2019,Mental Health,FALSE
75-79 years,0.9458687660336268,2013-2019,Mental Health,FALSE
80-84 years,-20.313168895178308,2013-2019,Mental Health,FALSE
< 1 year,0.03244007173494293,2013-2019,Mental Health,FALSE
1-4 years,0.00739926074972756,2020-2022,Mental Health,FALSE
10-14 years,0.01045776148240996,2020-2022,Mental Health,FALSE
15-19 years,0.02391853665335386,2020-2022,Mental Health,FALSE
20-24 years,0.3162170845521315,2020-2022,Mental Health,FALSE
25-29 years,1.3102411818174076,2020-2022,Mental Health,FALSE
30-34 years,2.883167242063382,2020-2022,Mental Health,FALSE
35-39 years,4.875454736675118,2020-2022,Mental Health,FALSE
40-44 years,6.7936492191488576,2020-2022,Mental Health,FALSE
45-49 years,9.111980498556154,2020-2022,Mental Health,FALSE
5-9 years,0.02066694577660014,2020-2022,Mental Health,FALSE
50-54 years,11.952892004772265,2020-2022,Mental Health,FALSE
55-59 years,15.942114016380213,2020-2022,Mental Health,FALSE
60-64 years,19.028602806363704,2020-2022,Mental Health,FALSE
65-69 years,16.937006924186313,2020-2022,Mental Health,FALSE
70-74 years,11.59035015880827,2020-2022,Mental Health,FALSE
75-79 years,-1.570009143740123,2020-2022,Mental Health,FALSE
80-84 years,-30.66156406425847,2020-2022,Mental Health,FALSE
< 1 year,-0.2011502242145904,2020-2022,Mental Health,FALSE
1-4 years,0.2822893014155614,2000-2005,Neurological,TRUE
10-14 years,0.3963549642627728,2000-2005,Neurological,TRUE
15-19 years,1.287210951952936,2000-2005,Neurological,TRUE
20-24 years,1.260821396422773,2000-2005,Neurological,TRUE
25-29 years,0.935314673236759,2000-2005,Neurological,TRUE
30-34 years,0.5958983164590768,2000-2005,Neurological,TRUE
35-39 years,1.0235149157849741,2000-2005,Neurological,TRUE
40-44 years,1.390732388559389,2000-2005,Neurological,TRUE
45-49 years,1.4549856970222477,2000-2005,Neurological,TRUE
5-9 years,0.11388174910943372,2000-2005,Neurological,TRUE
50-54 years,1.617833414496609,2000-2005,Neurological,TRUE
55-59 years,1.9867686299543248,2000-2005,Neurological,TRUE
60-64 years,3.7633761989623338,2000-2005,Neurological,TRUE
65-69 years,9.699014180745635,2000-2005,Neurological,TRUE
70-74 years,21.57380008214848,2000-2005,Neurological,TRUE
75-79 years,41.17784136511736,2000-2005,Neurological,TRUE
80-84 years,62.85904357670836,2000-2005,Neurological,TRUE
< 1 year,2.719368522720634,2000-2005,Neurological,TRUE
1-4 years,0.2644677124032162,2006-2012,Neurological,TRUE
10-14 years,0.3585731125190146,2006-2012,Neurological,TRUE
15-19 years,1.027602493376168,2006-2012,Neurological,TRUE
20-24 years,1.3015232392172318,2006-2012,Neurological,TRUE
25-29 years,0.9388946620271096,2006-2012,Neurological,TRUE
30-34 years,0.8529373133469549,2006-2012,Neurological,TRUE
35-39 years,0.8117371619618208,2006-2012,Neurological,TRUE
40-44 years,1.0583171063211596,2006-2012,Neurological,TRUE
45-49 years,1.8693541227022772,2006-2012,Neurological,TRUE
5-9 years,0.17056682584829974,2006-2012,Neurological,TRUE
50-54 years,2.171393689087161,2006-2012,Neurological,TRUE
55-59 years,2.543608121842965,2006-2012,Neurological,TRUE
60-64 years,4.401958800223053,2006-2012,Neurological,TRUE
65-69 years,9.070033102253356,2006-2012,Neurological,TRUE
70-74 years,22.79208969237344,2006-2012,Neurological,TRUE
75-79 years,44.81441371140778,2006-2012,Neurological,TRUE
80-84 years,62.8058801466147,2006-2012,Neurological,TRUE
< 1 year,1.6390151948662233,2006-2012,Neurological,TRUE
1-4 years,0.15573744702666992,2013-2019,Neurological,TRUE
10-14 years,0.2898336226299816,2013-2019,Neurological,TRUE
15-19 years,1.078241723469816,2013-2019,Neurological,TRUE
20-24 years,1.3839031296437243,2013-2019,Neurological,TRUE
25-29 years,1.2443955381274123,2013-2019,Neurological,TRUE
30-34 years,1.0382489030946078,2013-2019,Neurological,TRUE
35-39 years,1.0081694374674108,2013-2019,Neurological,TRUE
40-44 years,1.1447106561743323,2013-2019,Neurological,TRUE
45-49 years,1.7545752092452496,2013-2019,Neurological,TRUE
5-9 years,0.23226880025651575,2013-2019,Neurological,TRUE
50-54 years,2.7116140889465985,2013-2019,Neurological,TRUE
55-59 years,3.802766001902356,2013-2019,Neurological,TRUE
60-64 years,6.368221609854665,2013-2019,Neurological,TRUE
65-69 years,10.830271157505983,2013-2019,Neurological,TRUE
70-74 years,23.725181295163736,2013-2019,Neurological,TRUE
75-79 years,49.081977801709115,2013-2019,Neurological,TRUE
80-84 years,62.558908944135965,2013-2019,Neurological,TRUE
< 1 year,1.251655573275193,2013-2019,Neurological,TRUE
1-4 years,0.28479386093604253,2020-2022,Neurological,TRUE
10-14 years,0.32971233680067336,2020-2022,Neurological,TRUE
15-19 years,1.0633705177957102,2020-2022,Neurological,TRUE
20-24 years,1.4269703395884092,2020-2022,Neurological,TRUE
25-29 years,1.5393922885939246,2020-2022,Neurological,TRUE
30-34 years,1.5015825092096051,2020-2022,Neurological,TRUE
35-39 years,1.373656349985036,2020-2022,Neurological,TRUE
40-44 years,1.6097634980189932,2020-2022,Neurological,TRUE
45-49 years,1.4459181585137992,2020-2022,Neurological,TRUE
5-9 years,0.12379086916457238,2020-2022,Neurological,TRUE
50-54 years,2.8115533523395886,2020-2022,Neurological,TRUE
55-59 years,4.033781111629143,2020-2022,Neurological,TRUE
60-64 years,6.645586256614294,2020-2022,Neurological,TRUE
65-69 years,13.419282556368252,2020-2022,Neurological,TRUE
70-74 years,21.439098256057022,2020-2022,Neurological,TRUE
75-79 years,38.14034876354418,2020-2022,Neurological,TRUE
80-84 years,34.41535555780649,2020-2022,Neurological,TRUE
