mrr,excess_aamr,Year
1.7173733888215312,9.3978603967947,2000
1.6802660016185083,9.1135322253094,2001
1.6602850219655503,9.2964073262311,2002
1.6120071997014302,8.6801985025704,2003
1.588308132286256,8.270528871381998,2004
1.5817432606830881,8.191461919775799,2005
1.5395757247184307,7.642008825618301,2006
1.5100547469844314,7.1207697805501,2007
1.464766456545943,6.5667450274175,2008
1.4601362472714985,6.472952576364898,2009
1.4530088156003957,6.046648411457198,2010
1.4283975009449705,5.6818438397354,2011
1.4260597829688357,5.530223688485201,2012
1.4252291989484334,5.5728983069633,2013
1.3972342044661432,5.1789825432976,2014
1.417814310964423,5.372098831472801,2015
1.3933651658189832,4.929180802447,2016
1.3678856265205963,4.464500909720298,2017
1.375073906676324,4.381691759103001,2018
1.3897463920961899,4.2711062025733,2019
1.3918290485525833,4.5023334284353,2020
1.3742343423031476,4.4004129846958016,2021
1.3628044065613099,4.253713942579299,2022
