age_cat,male_years_lost,female_years_lost
1-4 years,89.72527905562885,86.64059604142827
10-14 years,25.30268931482194,24.791655591771196
15-19 years,35.763544437426,35.587718952743444
20-24 years,78.3605747831016,65.63674182973236
25-29 years,166.48968158767065,121.19603256017747
30-34 years,283.8523110134196,186.44972653059153
35-39 years,440.33896050879173,259.56904911443047
40-44 years,580.9751203990766,333.81675677653436
45-49 years,728.1137357371298,401.40658956195426
5-9 years,30.35337722613413,29.08263312963317
50-54 years,837.7367133666984,472.56095098621176
55-59 years,867.5314991666788,539.5172605225725
60-64 years,844.2002697440398,612.4125914312523
65-69 years,847.8537141377342,711.9585909587169
70-74 years,925.2786753984898,856.7217700106962
75-79 years,1090.576223440121,1039.8441456890348
80-84 years,1265.5479667330437,1211.0676016471127
< 1 year,1108.5382071440958,984.3649501124784
