Gender,Year,yrs_lost
Female,2000,27.981829709584638
Female,2001,27.496643492642402
Female,2002,30.28950280555848
Female,2003,31.590929984177176
Female,2004,33.89130745070657
Female,2005,28.677792620920563
Female,2006,28.81622915745016
Female,2007,28.240597456739998
Female,2008,27.378725457050276
Female,2009,29.77027150115923
Female,2010,25.805340024921296
Female,2011,28.986740151912876
Female,2012,30.07523017524817
Female,2013,30.83120440175011
Female,2014,29.618738353909873
Female,2015,30.532594539976962
Female,2016,33.89327872535623
Female,2017,33.51585528181181
Female,2018,34.8151983717233
Female,2019,31.169444417817125
Female,2020,35.82644146127856
Female,2021,42.30266426659769
Female,2022,47.08673499203629
Male,2000,21.578272772898984
Male,2001,21.179549479761512
Male,2002,22.244178203334588
Male,2003,26.923414005749123
Male,2004,25.315182204475068
Male,2005,27.726412753689928
Male,2006,23.366871296855745
Male,2007,24.309071531005905
Male,2008,25.512108314383877
Male,2009,24.787396447355245
Male,2010,27.974764755738434
Male,2011,25.732980453672624
Male,2012,25.70685237840496
Male,2013,25.73261795107032
Male,2014,27.263202638150602
Male,2015,30.588668305005008
Male,2016,30.930120661755957
Male,2017,31.245384411832486
Male,2018,32.48890136308683
Male,2019,32.07986159015776
Male,2020,32.30324830465614
Male,2021,35.378476920528676
Male,2022,40.31596866394075
