Year,ageadjrate_male,ageadjrate_female
2000,0.798796389956312,0.868365745008798
2001,0.824266591791572,0.848324050295036
2002,0.8566793732166,0.870051605249411
2003,0.892233459292666,0.993071045205159
2004,0.892342660428047,0.998780892287903
2005,0.926321203215243,0.940726444285511
2006,0.867852353339436,0.878344760963757
2007,0.90399077241651,0.855333394274882
2008,0.877603910116085,0.875932936697036
2009,0.892332793444443,0.875706469443268
2010,0.895112386271179,0.803110395210857
2011,0.875769717883992,0.85173164618621
2012,0.871684407498628,0.815853897430857
2013,0.911528129637421,0.855599453022997
2014,0.912803554960909,0.871223877680686
2015,0.961673300496806,0.899493529258594
2016,0.971073677808109,0.932020566486085
2017,0.983522355349816,0.925605522988606
2018,1.01537039594052,0.964180669425621
2019,1.05609016379214,0.9125350935853
2020,1.10290765992828,1.01867238734012
2021,1.25214569140105,1.13952645836767
2022,1.38205057354608,1.31908571959475
