age_cat,male_years_lost,female_years_lost
1-4 years,4.16944234496414,4.780228970807699
10-14 years,3.578693405237019,3.7350107505188617
15-19 years,2.356848296063691,2.7764037185165145
20-24 years,2.6567865765002385,4.069056255231396
25-29 years,4.023501453764075,6.391904822495579
30-34 years,5.813813726507921,9.37110371902682
35-39 years,10.193807548947941,12.077457844460845
40-44 years,13.90486305209815,14.854204085267167
45-49 years,19.636368891439268,20.5206687939877
5-9 years,3.651486805300662,3.68552577282926
50-54 years,26.14033694312344,25.555188661663284
55-59 years,33.77893164178489,35.617091813170234
60-64 years,42.819993498148044,43.225235881873054
65-69 years,49.453859641673574,54.26141834273835
70-74 years,61.06579160034713,67.90243003313113
75-79 years,72.77044586346507,84.0907723208785
80-84 years,90.49834207152873,108.18273178278423
< 1 year,21.336278481339317,24.190176018974835
