mrr,excess_aamr,Year
2.744948512046852,46.994058781604295,2000
2.7297999721041273,47.835334664482104,2001
2.684729328148294,48.720572354406805,2002
2.659845449427395,48.5449747586742,2003
2.5947850877979137,47.8347995658858,2004
2.653025584465006,49.987694428930496,2005
2.6402680271593524,50.6761572801113,2006
2.6190587582425993,50.5109439901789,2007
2.6319929682154215,49.5860636093183,2008
2.566369973592814,46.7751632353048,2009
2.5181803677049808,46.1609882621594,2010
2.505149394415548,46.973828319129,2011
2.5009869876624133,47.0064872810035,2012
2.481286971605624,46.6771882799289,2013
2.4822942133376533,47.705704926872095,2014
2.5188284655105746,51.44536339802819,2015
2.565855525527955,57.00352595692,2016
2.576610733494774,59.6599074662958,2017
2.5972352573228457,58.900399618521604,2018
2.6496461817197865,61.01841700446911,2019
2.7334802111858685,71.7133454457583,2020
2.6783178672309593,77.100308979399,2021
2.700035774774065,76.49112675285491,2022
