Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	3.56067831225125	4870	140355754	3.46975443557519
F	2001	3.36833837214815	4777	142026033	3.36346787915987
F	2002	3.50688686237681	4964	143317188	3.46364596547903
F	2003	3.38805555230063	4836	144551061	3.34553061495688
F	2004	3.38547608136442	4881	145810702	3.34749091325272
F	2005	3.28593101349669	4746	147070066	3.22703329717687
F	2006	3.24406239163372	4718	148385108	3.17956435358729
F	2007	3.22976019225129	4789	149720044	3.19863651656421
F	2008	3.15177924985498	4706	151070989	3.11509180627658
F	2009	3.06744728607404	4519	152332121	2.9665443967658
F	2010	3.08621022476525	4522	153260458	2.95053274602638
F	2011	2.97094872003181	4424	154457950	2.86420996782619
F	2012	2.94761465937972	4363	155498676	2.80581167134825
F	2013	2.89401005335172	4330	156478230	2.76715808965886
F	2014	2.9464219670803	4435	157867207	2.80932315474486
F	2015	2.95035890193998	4492	159076660	2.82379577242821
F	2016	3.03633369279363	4673	159893102	2.92257761063388
F	2017	2.91502043329728	4505	161122046	2.79601712604866
F	2018	2.90384490538315	4432	161819945	2.7388465618376
F	2019	2.91067445013489	4440	162353729	2.73476933812835
F	2020	2.8480270083782	4377	162984194	2.68553648828058
F	2021	2.98147654746633	4436	163709190	2.70968294449444
F	2022	3.05523394926245	4664	163801963	2.84734072448204
M	2000	3.94640421735342	5387	136826565	3.93710095696695
M	2001	3.78825997257304	5348	138630428	3.85773893737095
M	2002	3.84200622324593	5417	139939197	3.87096690286139
M	2003	3.76201544380236	5363	141090696	3.801101101663
M	2004	3.69807966739492	5321	142448713	3.73537948356192
M	2005	3.67859400991055	5336	143753234	3.7119164915622
M	2006	3.73523364864413	5472	145128875	3.77044196063671
M	2007	3.59120891837402	5366	146471618	3.6635083801696
M	2008	3.52066414555004	5285	147827137	3.57512166389315
M	2009	3.42745996764659	5069	149072107	3.40036785017066
M	2010	3.28718344468002	4849	149991647	3.23284669312285
M	2011	3.31109239146135	4956	151396794	3.27351713933916
M	2012	3.3092394814042	4969	152528034	3.25776178299132
M	2013	3.27919329259775	4924	153609820	3.20552423015664
M	2014	3.20557502763484	4881	154827618	3.15253832814246
M	2015	3.37023290661922	5166	156054999	3.31037136464946
M	2016	3.30106646125048	5112	156854080	3.25908003158094
M	2017	3.26224159435555	5069	158128450	3.20562175876637
M	2018	3.23514759571739	4982	158802986	3.13722060616669
M	2019	3.21552388538499	4937	159280836	3.09955681046275
M	2020	3.17560892039034	4853	159841509	3.03613249797335
M	2021	3.20239867395428	4878	162208799	3.00723513771901
M	2022	3.29906607665562	5131	162999726	3.14785805222765
